#{"t_start": 1716369599.4063442, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-26.403116,5,1.410986
-22.570157,2,1.635158
-196.741205,137,11.263214
17.226468,59,15.44058
-169.098577,114,23.470613
-5.379309,18,24.816833
-39.077013,15,25.933057
-35.423642,12,26.861756
-501.584793,500,61.682895
-24.233,3,61.971823
-24.252329,3,62.264003
-73.571886,37,64.933537
-16.770202,4,65.300323
-387.598201,155,76.260363
-13.541236,8,76.915252
111.881644,98,83.815819
14.413737,86,89.83911
-12.716981,9,90.5465
-151.43713,500,125.510651
-9.450201,13,126.516228
-24.254376,3,126.811424
-159.119372,103,134.126522
-50.836154,24,135.895538
-428.750867,500,179.045753
-111.532757,258,201.869502
-23.219068,345,231.6686
-261.068034,423,268.400179
-139.004218,47,272.591109
-99.769086,161,287.051949
-70.670263,96,295.697612
476.342064,207,313.466979
393.506519,177,329.068753
285.16063,189,345.48519
-158.276546,116,355.207668
-47.600818,101,364.14129
-175.546842,500,407.613328
-95.128283,500,450.059543
-13.954685,32,452.726926
-2.292406,22,454.736745
-17.298186,47,458.90376
-127.150324,69,465.099523
-11.324369,21,466.934773
-18.01142,494,509.285424
-66.292737,194,526.283944
-82.463712,500,569.30221
1567.498683,500,612.348739
754.085889,500,655.895249
1948.260427,500,698.701338
-146.753815,86,706.227757
1935.458883,500,748.451897
-273.00586,151,761.660536
3733.730752,500,804.143674
1170.508239,500,846.936828
-180.482156,143,859.527106
3412.566689,500,902.608255
3622.595429,500,945.443005
4035.46017,500,987.961923
941.693034,500,1030.837805
2914.867111,500,1073.645478
4249.161661,500,1116.908117
550.223182,85,1124.191462
2922.630086,500,1167.246649
4511.192169,500,1209.887862
4614.570541,500,1251.52983
2435.789563,500,1294.488355
-101.591624,47,1298.566695
2964.186445,500,1341.964186
2750.538306,500,1384.678191
9883.098495,500,1427.130683
4030.930515,500,1469.976219
2253.362829,62,1475.172052
-145.985492,75,1481.534274
2843.674383,500,1524.578484
1058.670373,231,1544.137478
1828.261396,53,1548.761257
1713.409164,40,1552.139666
2506.856072,500,1595.652144
6413.233359,500,1638.269459
7413.61889,326,1665.708011
-22.528569,1,1665.881403
-22.528534,1,1666.045802
2963.951557,500,1708.013252
4784.424682,500,1749.983092
455.3534,180,1765.730373
1707.768194,50,1770.329042
1405.727699,36,1773.480223
-184.350419,100,1781.993203
1653.640488,48,1786.174491
-923.545179,500,1829.591999
1545.044945,43,1833.262119
1615.760612,45,1837.154238
1519.061581,42,1840.91031
2406.256188,500,1883.760154
1899.094579,278,1907.472682
3274.931891,500,1950.382808
1790.199013,52,1954.735354
1673.551544,46,1958.587097
2275.109795,500,2001.911894
1775.928153,500,2044.998993
8670.079653,500,2087.34237
3810.096596,500,2130.48561
2935.247673,97,2139.065168
884.841352,134,2150.772703
-476.610413,308,2177.528997
2131.393183,73,2183.837389
3422.108077,500,2227.19411
3609.658052,500,2269.912977
10282.94512,500,2312.833736
2977.897028,500,2355.346536
7005.290116,500,2397.412464
1889.549855,65,2403.161701
3602.738184,500,2445.893119
2993.451724,500,2489.15424
3200.068851,500,2532.007526
4798.713019,500,2574.680779
3059.812154,500,2616.545254
-106.606614,49,2620.851555
-121.669023,59,2626.155309
6650.748531,500,2668.961744
3772.081588,500,2712.112306
-106.727818,50,2716.247706
-118.399785,52,2720.736158
7454.038961,500,2763.288459
3358.145278,477,2803.652361
2968.033435,500,2845.633769
10093.758965,500,2888.261141
-116.11481,50,2892.58458
10378.984363,500,2935.482888
459.046978,77,2942.182528
-124.570248,52,2946.641351
-113.811864,51,2951.07368
2812.850027,500,2994.519385
9385.254274,500,3037.137121
2999.321312,500,3079.913963
7013.131918,261,3102.161366
-174.312097,102,3110.984732
-126.326938,64,3116.597298
7043.70841,263,3139.145211
-161.42541,86,3146.607641
2199.669295,68,3152.753912
5159.48855,500,3195.792694
3233.822631,500,3238.96736
3430.509891,500,3281.877192
-168.060736,103,3291.029383
3611.630727,500,3334.580982
2418.825337,269,3357.849085
3696.03683,500,3401.171794
-113.637162,56,3406.412133
10892.527207,500,3449.485758
5715.182999,500,3492.403078
7879.489435,500,3535.316348
10884.500488,500,3577.955465
329.010365,205,3595.764734
5899.642505,500,3638.871398
257.214243,160,3652.85411
9498.182159,500,3695.21198
-113.672878,52,3699.91763
131.405262,104,3708.6213
5186.91661,500,3751.873447
