#{"t_start": 1716369598.2215953, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-26.3999,5,1.429527
-22.570157,2,1.646738
-671.671302,500,36.390986
-31.309527,8,37.042724
-642.276973,314,58.929848
-56.049011,39,61.735349
-176.056253,201,75.87347
-19.192988,1,76.023887
-18.385995,2,76.248539
-195.018346,84,82.162366
-22.528432,1,82.30935
41.559146,75,87.614955
-402.672251,500,122.515904
-381.592902,152,133.18473
-80.692088,24,134.966589
-835.997203,500,178.093408
0.938414,26,180.433911
-57.870935,15,181.775401
-720.639424,500,225.284443
6.67668,191,242.154219
-54.590504,25,244.34648
-432.508147,261,267.266259
-92.459142,121,277.970413
-249.064525,175,293.601395
-234.836065,159,307.523148
-669.418863,500,350.661189
-200.072984,210,368.826987
8.456263,79,375.875488
-702.370193,500,419.101725
-54.255133,75,425.527747
-34.412337,74,431.967256
-306.828922,220,450.593891
-21.161925,25,452.8067
-12.916853,19,454.456357
-663.709985,500,497.862978
-261.134539,500,540.360617
453.235903,409,575.585056
-6.885524,24,577.888703
14.206197,313,604.849416
58.74997,82,612.019352
343.459314,500,654.416247
-144.908528,91,662.417945
-147.301052,95,670.871311
296.79103,310,697.347116
179.482637,500,740.291382
1573.727318,500,782.892452
925.618416,347,812.350192
1009.956278,308,838.750791
-4.684426,500,881.784287
490.872794,344,911.165089
1459.133485,500,953.534308
-105.483204,500,995.668538
-158.11653,500,1038.048804
2382.520243,500,1080.131538
1212.046104,500,1122.948157
1787.551657,500,1165.554104
63.382384,500,1208.025301
3403.789454,500,1249.519524
404.604901,500,1292.238736
387.847141,500,1335.587781
1868.052861,500,1377.569671
646.063526,500,1419.769193
2941.363731,500,1462.034561
1390.921638,500,1504.195801
1158.492317,500,1545.857135
3326.617294,500,1588.235552
5139.333291,500,1629.60223
4163.99136,500,1671.059384
6302.918675,500,1713.097816
1655.170191,500,1755.989807
5261.436289,500,1797.944045
5551.002031,500,1839.497865
3706.514389,500,1881.766296
4012.387176,500,1923.671474
2874.500386,500,1964.951073
4071.951094,500,2007.593957
7872.324029,500,2049.727118
3274.891963,500,2091.851299
2065.938396,500,2134.527345
2239.417482,500,2177.777977
10079.891534,500,2219.159513
2795.44019,500,2261.762765
-316.438726,176,2276.786827
12301.6718,500,2319.120207
2360.940178,221,2338.016924
4937.55928,500,2379.697429
11230.295087,500,2421.2125
2696.642281,500,2463.666142
4157.265438,500,2506.356035
5873.243284,500,2548.743703
3676.052531,500,2591.245351
-585.473468,415,2626.413674
6414.35352,500,2667.989318
10127.858699,500,2710.670411
2817.865082,500,2752.998712
3343.8775,122,2763.592854
-646.102002,485,2804.646854
-354.625336,242,2824.905811
11594.714116,500,2866.223961
5402.794766,500,2907.937823
5557.292053,500,2950.459309
6086.432778,500,2993.321486
5100.763084,500,3035.351393
-305.531004,194,3051.940181
5742.691293,500,3093.292381
8117.521854,500,3135.069557
4714.485284,500,3177.367658
-166.616524,93,3185.376189
5278.523268,500,3228.261285
4014.804369,500,3270.746783
4908.479533,221,3289.854945
-167.978618,94,3298.009928
6461.800046,258,3319.980041
3534.269747,500,3363.395883
5691.696343,500,3406.951491
4140.281246,500,3450.568831
2347.917061,73,3457.158411
10998.22551,500,3499.715072
1718.94473,47,3503.874906
2735.057523,93,3512.250617
4132.531161,500,3555.169501
3936.448414,500,3597.905413
2083.90025,64,3603.57599
9775.455305,351,3633.524071
5381.224728,500,3676.248099
1456.662413,35,3679.387785
1760.465178,47,3683.285963
-316.836827,215,3701.891402
3706.580615,500,3744.217976
-350.94015,244,3765.475979
11420.135846,500,3807.419902
1819.325908,52,3811.944868
1908.425983,52,3816.370786
2143.680974,65,3821.60008
-288.929516,208,3839.462433
4316.379548,500,3884.042516
4112.943819,500,3928.113957
4099.862309,500,3971.488325
10147.008824,500,4014.639454
6239.346543,500,4057.314818
-330.730912,244,4078.650219
3304.23025,500,4121.822971
-169.052874,103,4130.733193
7093.381212,500,4173.986497
-555.07659,456,4213.273795
1951.955069,62,4218.63235
1898.407558,89,4226.26159
218.694026,89,4233.947631
1647.694595,47,4238.087722
6988.731549,500,4281.063961
-559.675272,437,4318.57142
6418.230853,500,4361.103254
-445.337512,248,4382.619998
11225.431669,500,4423.690474
3270.386075,500,4467.090592
9426.197345,500,4510.352757
-153.014997,65,4516.025222
10624.810715,500,4558.484283
4393.726435,141,4570.480612
6970.143487,500,4613.071411
7426.479923,500,4655.909841
-159.635666,89,4663.744932
13324.767535,500,4705.409034
-160.693625,78,4712.161278
1845.558374,85,4719.338156
3844.424945,500,4761.632134
8269.499258,500,4803.913391
8913.628515,500,4846.726446
3922.731975,500,4889.767951
3727.684506,500,4932.502491
13023.021194,500,4972.929522
10556.094584,500,5015.750917
12939.163106,500,5056.883646
12221.636166,500,5097.798356
2015.054696,85,5105.495793
-236.100878,151,5118.617962
2745.122126,500,5162.050676
2065.052384,76,5168.745226
-197.712162,140,5180.816002
4356.151495,500,5223.854414
9563.405883,500,5266.500363
1930.382465,89,5274.031082
4242.60268,500,5316.695608
