#{"t_start": 1716369587.115533, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-26.397457,5,1.321936
-22.570157,2,1.535224
-666.515772,500,36.192228
-31.31111,8,36.831218
-630.302078,314,58.74179
-64.138969,39,61.544283
-169.357638,201,75.721567
-19.193016,1,75.870358
-18.385995,2,76.093115
-189.858277,84,82.033964
-22.528432,1,82.18492
39.170173,75,87.51222
95.668252,500,122.303165
-376.193828,151,132.943427
-0.581842,24,134.657247
-22.103707,83,140.469462
-309.210095,433,178.746384
-56.429681,26,181.292279
-564.077665,356,212.968842
-519.92023,353,243.686907
-56.652694,242,264.170257
-595.350147,412,300.669617
-209.411944,125,311.871277
42.629887,143,324.257649
-97.700792,154,337.674951
-26.114418,68,343.469759
-181.091426,107,352.92381
-637.34426,500,395.843807
-26.208502,62,401.213629
862.671263,475,442.007321
-210.333338,500,484.536359
1549.199618,500,526.545394
-19.201837,1,526.711142
2833.058934,500,569.265332
1286.559137,500,611.444741
10.193846,179,626.646172
-124.242377,64,632.272042
648.235293,500,675.073384
1361.384711,500,717.02821
-148.700646,83,724.29096
237.574617,411,759.418415
2180.195865,500,801.875054
843.776639,500,845.429481
3236.680134,500,888.090167
-109.27209,53,892.869421
-119.472147,58,897.827026
2915.240456,500,940.836269
1600.667491,432,978.114329
-7.035335,16,979.508474
-177.997922,101,988.432685
2413.415332,500,1031.398245
-132.084182,64,1037.048206
-294.285897,211,1054.812097
1638.122299,46,1058.802274
1781.806923,500,1102.130927
1280.847599,500,1145.083052
2428.719572,500,1188.047512
883.128621,500,1230.102793
1876.503101,387,1263.395418
2322.393118,500,1306.538971
2700.490478,500,1349.821624
2628.170746,500,1392.103605
3678.249745,500,1434.714863
4071.416702,500,1477.319465
3105.307746,500,1520.141606
2932.541253,500,1562.28904
2790.005511,500,1605.137061
2825.333831,500,1647.821689
3471.100144,500,1690.55184
1940.137366,471,1730.842193
2785.474418,500,1774.440353
2725.088639,500,1817.176711
4021.212168,500,1859.98585
4318.934782,500,1902.561141
3767.442082,500,1945.105547
1509.650614,45,1948.944323
3848.119323,500,1991.342343
3857.30322,500,2034.893441
4491.690688,500,2077.561715
6074.496934,500,2120.916987
5084.550272,500,2164.215996
2580.195397,86,2171.741039
3197.903568,500,2214.240365
3873.967187,335,2243.16383
4147.687369,500,2285.56896
-169.5601,91,2293.597511
6932.662095,500,2336.072943
4305.523089,500,2378.931456
4122.453632,500,2421.435412
-481.015987,405,2455.921227
5656.879203,500,2498.523326
5852.417073,500,2540.843012
4704.343942,247,2561.845259
8103.532835,500,2604.327786
1953.31393,76,2610.852273
3066.779956,500,2652.896648
3915.835444,500,2696.062005
3795.665797,500,2738.251314
2284.739218,76,2744.814979
2781.519311,97,2753.110672
-265.530253,138,2764.978311
-666.398838,500,2807.741141
9158.433096,500,2849.593754
-150.637368,69,2855.800051
5028.916739,500,2897.975075
3930.376645,500,2940.627855
