#{"t_start": 1716177250.2970302, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-26.40402,5,0.542853
-22.569994,2,0.753439
-185.365878,137,10.461255
31.154341,81,16.359663
-105.90824,60,20.797871
-105.318047,34,23.368615
-40.517781,16,24.62816
-52.18773,25,26.548308
-31.773495,68,31.497914
-268.497315,500,67.372738
-13.502679,8,68.067475
-12.703262,9,68.825388
-16.009389,5,69.292254
-286.896688,500,105.178269
-13.643535,8,105.870621
-13.590486,8,106.56049
-291.970639,271,126.117774
-11.225954,11,127.022203
-87.900246,115,135.399471
-8.295392,43,138.617123
2.053979,74,144.017592
-124.809994,100,154.643187
-250.46209,91,162.469776
-29.941675,93,170.400964
2.55502,33,173.226001
-137.933047,47,177.262407
-4.56633,19,178.919772
-83.801034,59,183.912059
-48.525122,91,191.735454
-16.914392,59,196.782977
-21.285289,1,196.984624
-111.062727,63,202.416108
-6.930066,50,206.717782
-31.791404,64,212.333475
-65.878764,35,215.413358
-107.79018,35,218.491568
-21.718654,63,223.950426
-46.082392,65,229.561264
-141.54127,78,236.178421
-56.960813,60,241.220333
-150.908209,52,245.617091
-29.921329,7,246.312423
-12.003931,10,247.237712
-22.528572,1,247.422969
-24.254326,3,247.798448
-30.29382,8,248.560831
-21.285398,1,248.747081
-21.28543,1,248.944754
-18.386294,2,249.221397
-21.418208,1,249.409137
-21.285288,1,249.606668
-21.285444,1,249.7954
-22.52854,1,249.990094
-19.193092,1,250.177337
-22.836084,2,250.453001
-22.528537,1,250.651171
-21.418202,1,250.839904
-21.41823,1,251.028637
-23.855473,3,251.392197
-137.721147,47,255.469128
8.892147,35,258.437482
-110.25396,36,261.51436
12.723558,40,264.967951
-79.462812,43,268.686199
56.074786,53,273.341603
-120.205106,40,276.870416
8.593145,35,279.906911
-72.543957,54,284.579729
9.874643,36,287.648534
-115.456705,38,290.92802
-135.368111,46,295.034775
-11.059614,55,299.750312
-225.827587,83,306.974426
-93.770253,67,312.750853
-78.288786,46,316.728645
-72.968065,21,318.612997
-94.120637,54,323.329132
160.222487,77,329.982005
-87.591627,81,336.930427
84.591542,50,341.306553
-47.454745,56,346.03373
-4.401099,84,352.870373
-146.808427,69,358.673129
71.551583,70,364.65633
-263.184358,441,401.611368
102.066506,104,410.501751
-166.693948,81,417.3455
-31.557209,9,418.242975
-16.802976,4,418.677558
-242.946517,108,427.729558
103.249534,65,433.344919
-185.835539,97,441.566452
-8.008458,93,449.34924
37.153861,102,458.021
2.930499,69,464.037668
-3.985319,165,478.133656
2.450459,112,487.476276
-81.948007,122,497.958304
-62.213333,124,508.543989
-186.211922,113,518.164318
-159.690037,86,525.462741
91.85323,88,532.961439
-16.970074,81,539.927161
-175.11959,98,548.232891
-164.275752,99,556.551824
254.323772,107,565.844614
28.658182,73,572.147307
-68.269753,82,579.276832
18.574709,80,586.055516
94.50281,82,593.006215
-81.428149,73,599.293139
-56.112139,68,605.196005
43.149411,87,612.425185
476.528065,115,622.247504
4.144626,30,624.906654
348.570888,108,633.89239
-203.215655,101,642.187776
123.115272,153,654.535973
-284.627895,143,666.477349
-28.788816,93,674.283724
-192.215673,120,684.333678
-34.352367,500,725.151706
109.4066,66,731.003844
143.397821,61,736.291352
184.642134,82,743.327573
429.489076,500,785.273151
2626.815557,500,826.307208
582.827651,500,867.872642
-833.189068,500,909.315967
3.578472,163,923.349655
-31.823295,65,928.976935
-32.820869,60,934.14178
-69.108623,279,957.111769
790.359026,500,997.488294
3494.631771,500,1037.955929
1181.756905,500,1078.685735
13.580405,57,1083.496841
10.570941,42,1086.977532
-75.733619,22,1088.918368
23.192387,37,1092.058784
33.59229,35,1095.004014
-145.962421,50,1099.230548
-873.747217,416,1132.614801
-235.085355,86,1139.835907
537.026888,90,1147.409935
-145.8553,99,1155.582682
-941.9047,500,1196.545953
-305.597918,342,1224.206077
-776.892246,500,1264.227737
268.345225,500,1304.250635
451.767744,500,1344.736172
-133.54352,500,1385.451481
41.410676,500,1426.379869
2023.028092,500,1466.957842
-135.563424,500,1507.426141
1640.749029,471,1545.93446
280.687358,500,1586.879218
-22.499694,44,1590.694761
-33.341127,36,1593.824787
-129.031075,43,1597.518657
5.549013,39,1600.843222
-19.632474,42,1604.432837
-121.119175,40,1607.821281
-32.591791,39,1611.253434
-62.009759,33,1614.154993
1591.330734,500,1654.968057
-16.479637,25,1657.128168
-2.366695,22,1659.029539
-54.04827,24,1661.096167
-179.37416,500,1702.038814
412.22312,236,1721.536406
-707.505228,500,1763.075332
682.191287,500,1804.747208
866.267586,500,1846.025676
29.82965,500,1887.511882
-210.545701,500,1929.031112
2336.344455,500,1969.827416
3880.845773,500,2011.337339
789.809384,500,2052.607755
2751.670489,500,2093.801467
630.893272,500,2134.836632
-692.158581,500,2176.205156
-710.147263,500,2216.882737
786.096328,500,2258.191997
358.311678,289,2281.868904
2517.970936,500,2323.787467
-737.666949,500,2365.672982
2603.902037,500,2406.273173
2752.246428,500,2447.308628
679.966712,500,2487.861467
-747.458033,500,2529.304879
82.138722,500,2570.67881
-805.972927,500,2611.972482
6461.738124,500,2653.068243
2375.058846,500,2694.634293
-770.101199,500,2734.937181
-795.951757,500,2776.233183
996.227113,500,2818.140991
-769.883945,500,2859.973807
339.039129,500,2901.888487
2314.3242,500,2943.805861
1864.895487,500,2985.140169
1563.057951,500,3026.648328
1835.893966,500,3067.995764
2422.337107,500,3109.443967
238.734457,500,3150.801854
358.896018,500,3191.781149
-704.698379,500,3233.118174
2870.863391,500,3273.789097
1509.78052,500,3314.713592
2775.996861,500,3356.128897
-689.782876,500,3397.482906
-694.195976,500,3438.830147
522.80061,500,3480.226408
73.835196,500,3521.92649
4240.764037,500,3562.923178
-677.32195,500,3603.962164
-730.624913,500,3645.620438
1358.374864,500,3688.060544
-6.147862,500,3730.419506
125.171209,107,3739.321653
599.52374,500,3780.970931
61.799209,80,3787.885726
-141.086123,77,3794.582196
2.685473,85,3801.893923
36.974113,75,3808.286387
-132.954847,74,3814.690657
111.805906,76,3821.199496
-150.209887,84,3828.426022
-73.637897,82,3835.667722
-143.909472,82,3842.673974
70.8585,84,3849.915067
-83.675343,116,3859.755445
336.903359,113,3869.584789
2969.720511,366,3900.243563
375.87398,500,3941.941751
651.783295,500,3984.065522
684.643815,500,4026.2022
1672.483072,500,4067.980958
225.206487,500,4109.951998
-699.555447,500,4151.930471
-823.626295,500,4194.355163
36.985891,500,4235.956005
-70.473529,20,4237.694833
492.046757,233,4257.370637
209.666028,165,4271.481306
256.504099,121,4281.724001
-10.222481,12,4282.868336
