#{"t_start": 1716174948.6457193, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-26.404541,5,0.535795
-22.569942,2,0.751719
-123.722399,76,6.178725
-226.462509,234,22.916055
-18.38633,2,23.145089
-0.586753,24,24.963887
213.718341,500,60.795632
-102.889088,33,63.270071
-63.729526,33,65.75053
-242.733148,144,76.00663
-19.20177,1,76.144041
-6.972164,16,77.345626
-25.130008,4,77.696561
-98.971004,84,83.675954
-16.788984,4,84.022996
-61.420695,408,112.399133
-150.030842,52,116.114627
-63.93451,38,118.836223
-35.089475,15,119.954571
30.393155,60,124.204119
-35.57016,11,125.044259
-210.711576,195,138.702317
-199.062664,81,146.641954
-105.46266,46,150.30074
-45.997177,37,153.645101
-89.567349,38,156.95424
-61.181369,79,163.605854
-43.457685,31,166.329045
-110.838646,500,207.538853
334.070896,500,249.174196
-81.32362,313,274.615854
877.053564,500,315.470319
2785.905067,500,357.755085
1275.314711,500,408.915626
94.61808,500,451.369415
1523.19477,500,494.386864
-11.985632,10,495.402554
-18.386677,2,495.633638
-22.528459,1,495.787604
-17.599629,3,496.269723
-21.285043,1,496.414252
1317.45968,500,538.847642
2866.135449,500,580.55576
2849.260741,500,622.492297
25.558101,500,664.849022
-149.459544,500,707.404771
-72.603308,21,709.415438
-4.102759,20,711.185739
-844.333571,500,753.473292
2068.962979,500,795.691324
1217.642937,500,838.759025
-118.571267,500,881.450644
2334.603834,500,924.036514
2628.681456,500,965.621439
2158.936801,500,1007.511665
1804.677044,500,1049.840029
2185.382963,500,1092.187873
789.395205,500,1134.564121
1371.020699,500,1178.141344
2519.499486,500,1220.360916
2847.748177,500,1263.188246
2861.489543,500,1305.162241
3168.989503,500,1347.520171
951.086051,500,1389.912093
-109.883605,500,1432.459013
2822.669951,500,1484.255966
588.7828,500,1526.437933
-15.108724,6,1527.008538
-716.489921,500,1568.605905
2667.797523,500,1652.637398
-704.059842,500,1693.408885
730.704857,500,1735.638902
-748.275112,500,1777.550415
-713.837322,500,1819.655425
-10.265533,12,1820.780764
2699.254557,500,1862.699242
-183.306493,500,1905.25798
-761.921294,500,1947.762913
1003.667509,500,1990.14027
4672.408752,500,2032.785392
5473.732671,500,2074.50023
2436.349768,500,2115.365119
2606.9569,500,2155.662357
5644.95053,500,2195.833573
588.111451,500,2237.960586
-96.676779,500,2278.053066
-735.587609,500,2318.44804
1969.513104,500,2359.721963
2025.291191,500,2400.906339
5343.053075,500,2441.894738
5749.053268,500,2482.710323
5932.011479,500,2524.161902
3697.397185,500,2565.108132
5455.845361,500,2606.422029
-712.378243,500,2647.624447
314.921292,500,2687.915851
7692.595722,500,2728.706892
7036.626748,500,2769.892298
7448.240159,500,2811.104002
-724.318515,500,2852.19221
-720.684915,500,2893.591183
580.750614,500,2934.887309
3329.844535,500,2975.942981
3027.501072,500,3016.852165
189.625686,500,3058.71773
648.371764,500,3100.303038
-730.265849,500,3141.099109
3411.055654,500,3181.784986
-720.352392,500,3222.675079
-384.493769,269,3244.953212
-252.295713,168,3258.784933
2817.861643,500,3299.149041
6474.248217,500,3339.915737
5123.758738,500,3380.904736
-714.912703,500,3421.388102
758.84224,500,3462.193279
-706.296233,500,3502.780717
872.307513,500,3543.458285
5521.766487,500,3583.903629
-697.786167,500,3624.457379
429.423156,500,3664.898375
437.763384,500,3705.145525
5784.496178,500,3745.984173
686.504791,500,3786.446697
