#{"t_start": 1716081880.301617, "env_id": "manipulator_mujoco/UR5eEnv-v0"}
r,l,t
-114.975891,82,5.821921
-32.770684,9,6.506327
-139.427578,82,12.228415
-88.931668,51,15.837689
-89.299052,47,19.171311
-131.83123,76,24.502041
-377.973863,500,59.663025
-64.877696,32,61.944213
-54.954434,25,63.739664
-27.06512,5,64.154873
-200.669746,127,73.051654
-29.879127,7,73.60047
-21.417712,1,73.732583
-34.013716,10,74.488012
-41.080519,15,75.590611
-378.010661,500,110.529719
-21.418139,1,110.710009
-426.134552,298,131.942487
-42.568661,16,133.122069
-44.191033,17,134.375655
-73.704903,38,137.094405
-21.41794,1,137.228008
-117.169461,101,146.513182
-25.719353,36,149.403282
-35.425548,37,152.362916
-47.653795,39,155.493402
-53.815079,46,159.198532
-55.168761,38,162.263459
-50.579731,22,164.079767
-66.802694,33,166.790571
-53.426021,35,169.600708
-19.788223,38,172.687985
-25.862286,34,175.442992
-31.791543,39,178.590368
-24.008002,41,181.900148
-32.707247,42,185.266551
-24.130498,42,188.637425
-29.153479,42,192.013764
-38.700013,41,195.305171
-25.550719,39,198.453535
-18.969185,41,201.771268
8.479703,41,205.082537
-5.061345,39,208.269644
-9.166775,40,211.584891
-7.052985,43,215.167344
-21.491991,38,218.349487
-21.907686,39,221.583774
-21.59506,42,225.159273
-18.531352,42,228.75762
0.699469,43,232.337093
-15.644301,41,235.676179
-40.53653,19,237.259054
-26.030888,39,240.452618
3.253958,40,243.802134
-2.809885,38,246.893881
-7.13372,43,250.474844
-22.776502,38,253.568577
-0.163169,41,257.157984
0.290083,44,260.77421
-25.122191,41,264.150546
-30.051552,39,267.351559
-29.264996,41,270.756706
-7.246093,43,274.320282
-13.442022,41,277.665329
-19.737281,42,281.157388
-1.61284,41,284.551605
-21.354678,44,288.220975
-22.960102,40,291.589861
-20.709957,39,294.824155
-25.022923,40,298.123008
-27.17467,43,301.705957
-24.465901,42,305.156794
-21.003029,42,308.706963
-20.669083,41,312.05648
-24.247849,40,315.383646
-21.069188,43,318.889613
-6.295032,42,322.573386
11.203895,46,326.119186
-26.678102,41,329.491552
-20.729491,41,332.825172
-25.609494,41,336.199025
-6.284797,42,339.625028
-23.698143,37,342.648238
-10.015889,41,345.960501
-20.44947,41,349.309521
-20.421642,40,352.543811
-21.555974,41,355.958888
-24.038554,43,359.513528
-20.900099,42,362.951451
-25.513015,41,366.266201
-2.022428,40,369.505954
-23.301199,36,372.420391
-47.008479,48,376.309287
-30.865252,45,379.938426
4.835323,51,384.102972
-33.699269,51,388.345991
7.393496,46,392.12264
3.317007,46,396.03339
-2.67725,46,399.592996
32.410493,49,403.681552
-16.856877,29,405.984096
-34.070364,10,406.842335
-32.752371,9,407.602731
-32.76383,9,408.37008
-33.983793,10,409.271529
-34.112784,10,410.131755
-34.040785,10,410.947281
-34.102137,10,411.80254
-34.170655,10,412.686605
-34.10808,10,413.554778
-32.822174,9,414.352921
-31.400783,8,415.03087
-32.687728,9,415.799709
-35.678893,11,416.727482
-29.935959,7,417.332917
-32.794905,9,418.083876
-31.326511,8,418.786163
-31.317912,8,419.512785
-35.50062,11,420.463404
-31.370864,8,421.207907
-29.858947,7,421.904233
-31.285297,8,422.654198
-34.129593,10,423.468731
-32.651516,9,424.217207
-34.216317,10,425.106242
-35.602117,11,426.051892
-32.738221,9,426.856988
-34.16245,10,427.724663
-32.632991,9,428.515853
-29.867228,7,429.185855
-29.829998,7,429.804204
-35.530688,11,430.750849
-35.623457,11,431.721833
-35.48572,11,432.693311
-35.627425,11,433.620587
-35.535471,11,434.55134
-35.573632,11,435.490535
-35.493798,11,436.436188
-35.657267,11,437.3878
-31.242165,8,438.125846
-32.784963,9,438.938888
-32.684734,9,439.720641
-34.147204,10,440.70255
-34.155574,10,441.564265
-29.875501,7,442.184602
-35.654619,11,443.152111
-32.670759,9,444.02078
-35.636117,11,444.965932
-34.12378,10,445.821191
-31.352173,8,446.535894
-34.194333,10,447.426419
-35.533754,11,448.317435
-32.752091,9,449.081308
-35.623916,11,450.029447
-31.221976,8,450.72428
-34.177179,10,451.592948
-34.116192,10,452.48496
-32.720493,9,453.279627
-34.107973,10,454.144323
-37.010888,12,455.186825
-29.843765,7,455.813617
-32.783597,9,456.600337
-32.710475,9,457.440199
-32.853318,9,458.177252
-32.799338,9,458.943111
-35.617944,11,459.86542
-35.593355,11,460.792199
-32.820946,9,461.647458
-32.702841,9,462.434674
-32.655173,9,463.192586
-32.689786,9,463.972356
-34.124592,10,464.839035
-36.99546,12,465.84379
-32.698486,9,466.617596
-32.7912,9,467.401832
-31.330028,8,468.127461
-32.747177,9,468.920637
-33.975036,10,469.803213
-34.270707,10,470.665922
-34.157766,10,471.520684
-34.217735,10,472.376441
-32.670273,9,473.150246
-32.737581,9,473.931999
-31.335334,8,474.633291
-32.644154,9,475.462724
-31.289346,8,476.191829
-34.220314,10,477.068942
-34.146426,10,477.932148
-32.746596,9,478.71837
-34.254897,10,479.635216
-29.914982,7,480.221286
-36.962899,12,481.189284
-32.7585,9,481.975014
-32.795291,9,482.751796
-32.675875,9,483.549939
-34.084978,10,484.412151
-31.309816,8,485.12288
-32.815362,9,485.900163
-31.191659,8,486.595995
-32.823675,9,487.396618
-32.736831,9,488.174397
-34.196381,10,489.063926
-34.080842,10,489.921172
-38.538971,13,491.007381
-34.203927,10,491.888963
-34.093817,10,492.817729
-29.884102,7,493.436078
-36.876237,12,494.485534
-32.716228,9,495.27573
-31.255234,8,495.982982
-31.240904,8,496.689242
-32.607375,9,497.472981
-35.549444,11,498.41913
-31.352387,8,499.110986
-34.174167,10,500.017898
-31.245066,8,500.719191
-38.274142,13,501.835696
-36.913216,12,502.863795
-32.800648,9,503.646542
-34.079539,10,504.54352
-34.060679,10,505.413682
-38.067446,13,506.535152
-39.658752,14,507.748507
-35.405469,11,508.721972
-35.452442,11,509.662658
-36.931558,12,510.676354
-38.44964,13,511.773989
-55.115675,42,515.177639
-32.15534,39,518.417889
-32.971293,42,521.830482
-29.775456,37,524.854186
-28.099746,37,527.900736
-25.885645,37,530.938843
-23.559372,37,534.031583
-18.82914,40,537.186903
-21.338071,39,540.270206
-19.467924,37,543.311293
-20.775722,39,546.565901
-11.510447,36,549.632318
-17.085528,37,552.7018
-17.119047,37,555.798593
-13.190548,36,558.816836
-23.445237,40,562.206186
-14.660858,38,565.37293
-15.870315,37,568.471133
-16.87479,37,571.57927
-21.537806,37,574.69436
-26.840781,39,577.984276
-27.036347,37,581.039273
-22.970176,36,584.06496
-28.278677,38,587.070287
-24.247493,39,590.286697
-27.286799,37,593.289541
-29.47723,38,596.369864
-32.798365,38,599.554487
-25.531906,39,602.82553
