#{"t_start": 1716121449.2462573, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-132.929007,83,5.940127
-31.337759,8,6.558477
-140.62162,82,12.274607
-102.002867,60,16.477893
-143.42725,84,22.421496
-62.077072,30,24.671891
-366.381606,500,60.217294
-45.360492,18,61.60796
-74.416887,39,64.492596
-27.084877,5,64.945059
-245.335433,157,76.248188
-24.252094,3,76.569034
-362.423024,500,112.077683
-21.418139,1,112.25549
-559.41688,470,148.930809
-99.258521,91,156.843694
-64.434584,56,161.850585
-75.174958,67,167.710752
-66.887796,73,174.048209
-62.981855,48,178.227655
-72.033803,37,181.411782
-175.772886,188,196.867039
-180.241467,195,212.844292
-208.49759,195,229.084282
-212.969919,222,247.643703
-147.314945,125,258.326494
-104.326718,85,265.574344
-120.729708,117,275.648224
-63.519518,89,283.171226
-35.355173,81,290.173722
-19.581642,64,295.69516
-31.308495,62,300.896744
-21.647925,58,305.870359
-25.293178,60,310.93238
-42.769854,65,316.445874
-56.211006,61,321.610206
-36.455826,68,327.519043
-24.066466,69,333.47556
5.020189,62,338.839558
-1.230609,64,344.289472
-39.295677,59,349.393711
-20.635871,59,354.503412
-12.925765,68,360.171366
-25.939622,62,365.723597
6.411222,67,371.386584
-25.184756,60,376.504729
-27.37758,64,381.99587
12.671564,67,387.764647
-18.508531,63,393.104305
-30.246304,63,398.470783
-20.224308,63,403.79405
-37.25231,64,409.283206
-25.000796,59,414.262779
-22.391599,55,418.925481
-37.170851,65,424.372419
-20.33839,62,429.66688
-27.560321,65,435.259838
-27.943528,62,440.550326
-25.950356,65,445.99776
-31.913017,61,451.142725
-31.480979,59,456.200279
-15.930386,59,461.170414
-47.022524,62,466.397825
-22.091341,62,471.627223
-7.034347,66,477.185911
-34.844847,65,482.667615
3.459571,67,488.353449
-34.565082,60,493.394611
-25.414059,62,498.606129
-45.137753,60,503.684043
-23.442794,56,508.559318
-64.292056,60,513.877122
-22.560415,57,518.867131
-28.597778,67,524.606105
-33.593405,61,529.761003
-38.761956,63,535.135428
-53.262399,54,539.930242
-30.735912,60,545.280827
-41.677045,60,550.582738
-31.685585,62,556.011796
-43.530452,50,560.389908
-19.710134,42,563.784512
-29.521568,44,567.491132
-33.804108,46,570.945941
-26.399069,59,575.980149
-30.910187,59,581.21054
-38.991673,61,586.571555
-44.362564,56,591.514376
-28.942068,56,596.040495
-26.358667,59,601.079173
-28.567358,62,606.377111
-32.171452,59,611.265796
-34.995836,61,616.492213
-29.996115,60,621.579564
-29.472615,59,626.66195
-25.876963,66,632.292654
-27.67378,62,637.582148
-26.798042,66,643.214342
-28.40565,69,649.117716
-29.928671,75,655.718931
-47.301825,102,664.53473
-61.032015,75,671.055957
-59.106892,93,679.202771
-51.165232,110,688.614099
-92.861957,94,696.654627
-90.781435,90,704.403612
-44.798653,108,713.790602
-101.731711,95,722.044697
-57.002988,122,732.253673
-0.927285,91,739.916235
-74.633989,74,746.312798
-47.08681,78,752.889155
-30.352428,102,761.717396
-101.446058,124,772.366415
-87.585897,87,779.930144
-68.824185,54,784.547649
-51.509665,22,786.58547
-45.718277,18,788.203112
-47.212974,19,789.915617
-49.971944,21,791.750798
-61.380064,29,794.284292
-293.533523,246,814.908354
-111.366669,100,823.365089
-112.318672,112,833.059019
-170.66063,215,851.11333
35.82423,82,857.870969
-32.95545,79,864.599306
-13.845478,86,872.018505
6.080114,70,877.952671
-41.319343,48,882.124205
60.85101,119,892.162324
96.360175,92,899.882503
28.429067,75,906.371943
-40.290845,89,914.038481
-6.783226,100,922.587596
-66.737469,101,931.210713
-105.893236,158,944.590403
-17.75059,71,950.664134
-58.020897,99,959.341388
-18.61422,100,967.763852
-57.389098,79,974.521492
-102.607894,135,985.874286
-12.42569,116,995.653147
-40.135804,275,1019.007382
-64.082847,48,1023.114811
-103.983661,500,1065.313409
-26.624267,54,1070.00293
-41.926902,52,1074.435676
-61.427476,71,1080.561556
-77.197786,261,1102.969146
-23.264799,291,1127.627131
-38.832765,71,1133.7396
-22.473001,83,1140.793253
11.385537,107,1149.885721
2.080906,101,1158.333515
-211.300267,381,1190.579565
-76.357382,72,1196.749152
-74.505242,68,1202.599879
-60.380471,70,1208.643809
-180.256099,218,1227.263327
-211.273161,483,1268.336127
1.005716,105,1277.281085
-266.699407,500,1320.321478
137.876991,163,1334.798303
-84.569085,500,1379.606033
-7.039218,500,1423.293781
-13.040915,500,1467.497068
34.244818,500,1512.326229
-75.555823,84,1519.875057
126.388853,110,1529.773117
20.902754,122,1540.905889
-220.85526,500,1585.757326
50.296246,108,1595.438342
-188.607121,500,1640.055609
-154.194662,500,1684.716904
-16.501004,78,1691.675196
57.086568,75,1698.355853
-37.682278,63,1704.095823
6.450312,206,1722.495318
63.005841,228,1742.697711
-65.314929,449,1782.664446
308.822334,121,1793.372568
-8.867445,122,1804.479017
75.689997,87,1812.152509
2.706662,192,1829.331694
202.583143,405,1864.349676
77.448743,71,1870.530686
73.924627,450,1908.39552
140.335768,101,1917.225748
74.762738,123,1927.79381
46.818721,63,1933.229325
115.192921,169,1947.798033
-21.444711,177,1962.740234
-69.03413,437,1998.932793
-125.10186,500,2040.045824
30.514017,215,2058.637898
-101.033811,500,2100.96627
-35.110717,204,2117.56982
-78.320921,365,2147.480052
152.462239,111,2156.860086
-5.431951,119,2166.928501
-128.497185,145,2179.274132
36.392152,96,2187.46813
-49.235966,82,2194.396623
-30.840715,70,2200.319864
-34.195806,162,2213.59277
28.133966,81,2220.593776
-47.509269,94,2228.618908
-39.963887,97,2236.898333
-44.294653,92,2244.690528
-16.770196,90,2252.254256
175.854876,112,2261.673034
-328.03469,500,2304.819912
159.668347,116,2314.749758
922.380684,500,2357.631914
-13.487368,283,2381.776842
346.930651,428,2418.028008
277.839942,500,2460.930526
96.260443,105,2470.123817
1022.435006,500,2512.169586
135.725676,111,2521.603763
753.402632,204,2538.871352
206.497815,159,2552.671717
270.219986,195,2569.321954
299.351629,181,2584.659501
516.593627,201,2602.036856
859.209751,242,2622.200509
1185.435261,356,2652.386883
10.664877,463,2691.023017
834.232647,290,2715.599052
201.731288,98,2723.823347
374.949946,212,2741.789251
281.764458,148,2754.032072
131.933527,92,2761.836187
343.078225,159,2775.242697
124.615554,104,2783.863331
355.238455,202,2800.104415
763.791354,500,2841.162461
406.527454,150,2853.21422
408.744057,135,2864.152318
195.169244,73,2870.095425
246.294449,87,2877.273245
72.817748,64,2882.467876
59.8785,53,2887.024788
225.938029,80,2893.530376
33.720199,44,2897.174913
103.861435,58,2901.980658
286.750572,98,2910.047246
203.236737,70,2916.058896
275.459647,500,2957.011997
465.157066,251,2977.66303
0.318063,46,2981.650762
274.22723,500,3021.332401
81.633405,81,3027.849072
183.440909,201,3044.042376
868.339198,500,3086.928008
155.933562,146,3099.225462
1477.549307,500,3142.027653
1074.578097,500,3184.71462
1787.745406,500,3227.329072
-67.389195,124,3237.542109
993.580262,500,3277.764521
59.971906,117,3287.071051
206.13986,143,3298.428754
31.532002,346,3325.477919
993.8369,500,3366.627207
327.099658,174,3380.647596
108.292481,150,3392.643573
165.570254,95,3400.403985
154.334034,112,3409.458702
216.1715,174,3423.798447
271.478622,160,3437.622653
149.516092,173,3452.332911
243.97731,327,3480.098535
793.503545,500,3522.956651
1472.349209,500,3566.3911
997.322171,500,3608.640502
1331.917631,194,3624.707652
185.994159,97,3632.77947
105.587905,75,3639.191927
74.963732,100,3647.449499
1399.07336,192,3663.368145
1650.961336,250,3684.161571
20.350045,92,3692.077436
156.472535,86,3699.315848
110.532625,86,3706.431087
23.282416,51,3710.690993
804.711164,162,3724.072172
