#{"t_start": 1716081873.1535947, "env_id": "manipulator_mujoco/UR5eEnv-v0"}
r,l,t
-121.222422,75,5.359031
-42.828118,16,6.5406
-80.232646,43,9.57523
-77.611312,39,12.344144
-101.794316,60,16.562823
-143.872939,84,22.455767
-62.245575,30,24.607821
-349.872281,500,59.783221
-63.404517,31,61.996365
-52.574772,23,63.656223
-189.723209,135,73.12566
-29.879127,7,73.677953
-21.41778,1,73.808079
-34.040782,10,74.568479
-41.085171,15,75.673558
-404.055279,500,110.359365
-21.418139,1,110.537172
-214.926423,140,120.650288
-45.36014,18,122.053867
-313.806594,211,137.153015
-21.417974,1,137.283141
-120.829918,101,146.426268
-50.917795,42,149.872634
-60.579765,48,153.762524
-56.057968,41,157.048964
-55.979098,42,160.392024
-75.838339,40,163.59751
-67.098298,39,166.747367
-56.049908,26,168.874088
-51.900619,23,170.76142
-88.835391,45,174.425822
-42.308782,16,175.748941
-41.016391,15,176.997063
-35.363521,11,177.924839
-45.299879,18,179.435197
-65.160107,52,183.610173
-73.388302,37,186.588183
-36.315,41,189.87214
-67.454356,40,193.07514
-53.961048,38,196.127153
-71.639135,40,199.335616
-59.645921,41,202.63348
-58.914833,41,205.932833
-59.23981,41,209.244106
-73.231019,47,213.030192
-82.788653,67,218.51587
-117.810375,108,227.418114
-89.189172,85,234.422597
-121.398313,89,241.697766
-154.154266,143,252.681534
-76.102348,70,258.412068
-106.003432,91,266.056257
-71.348087,56,270.642969
-73.38932,64,275.83909
-64.145084,52,280.100486
-42.623885,42,283.551819
-42.975782,44,287.182949
-56.588536,45,290.868705
-39.982662,44,294.567378
-51.535465,42,298.085267
-47.615028,51,302.299976
-46.138868,45,306.021492
-46.139077,45,309.732582
-53.887051,45,313.575785
-54.492048,45,317.369817
-41.908702,44,320.74665
-46.92783,46,324.64697
-53.417448,44,328.296473
-52.021603,44,331.967432
-54.78704,46,335.666602
-52.831791,44,339.227205
-53.431503,44,342.835485
-53.617085,44,346.414954
-52.63439,43,349.903537
-51.733029,43,353.36232
-58.388432,47,357.183173
-55.025606,45,360.822743
-52.668596,44,364.612305
-53.88022,44,368.155521
-52.764656,42,371.575565
-50.374414,41,374.889321
-49.155694,40,378.131061
-52.497831,42,381.576931
-47.711592,38,384.661724
-51.397868,41,388.003294
-55.458849,44,391.635417
-54.330415,43,395.13989
-48.970817,38,398.251503
-50.783087,40,401.572214
-52.495577,41,404.959973
-52.352602,41,408.245917
-50.089575,41,411.718606
-50.482963,45,415.250896
-56.509012,44,418.821926
-53.642314,48,422.752542
-58.414342,50,426.751201
-56.403539,54,431.250499
-60.530975,46,435.119032
-67.174475,54,439.563697
-61.630307,50,443.56037
-57.473556,52,448.036822
-53.551339,45,451.839298
-57.523157,49,455.786801
-57.985264,63,460.922825
-70.537214,54,465.355571
-47.660206,47,469.215163
-40.610951,42,472.63223
-49.121593,39,475.825293
-39.768991,39,479.015876
-40.232484,40,482.29437
-50.980388,41,485.65233
-47.853957,39,488.806159
-36.659544,39,492.022073
-28.863213,39,495.215139
-35.751839,39,498.45092
-34.973556,40,501.835202
-27.285037,40,505.136542
-44.399901,42,508.631085
-47.176409,41,511.986562
-47.138739,43,515.530275
-25.950286,41,518.871845
-46.267089,39,522.034119
-40.95706,37,525.135798
-38.302151,38,528.217612
