#{"t_start": 1716189071.667614, "env_id": "manipulator_mujoco/UR5eEnv-v0"}
r,l,t
-21.418851,1,5.615877
-25.649405,4,5.968013
-211.376639,131,15.710122
-25.558403,4,16.073182
-21.418172,1,16.215725
-32.674749,9,16.962711
-25.657272,4,17.329251
-118.165268,130,27.028147
-25.670449,4,27.388727
-109.087778,110,35.790828
-24.256276,3,36.075418
-55.68269,26,38.087909
-88.303553,47,41.655462
-39.86591,14,42.780908
-21.417961,1,42.930901
-29.893648,7,43.518457
-21.417677,1,43.67888
-25.649501,4,44.038963
-51.040352,22,45.728621
-59.853399,29,48.041099
-22.820161,2,48.257646
-25.659962,4,48.632628
-32.853452,9,49.396997
-21.418424,1,49.545504
-43.730204,17,50.911333
-31.296323,8,51.587296
-52.185507,23,53.34301
-93.721428,52,57.340676
-37.074005,12,58.324572
-25.663681,4,58.690615
-25.673944,4,59.043745
-36.884493,12,60.009267
-111.007953,107,68.080088
-83.519319,92,74.958914
-21.417385,1,75.099471
-63.369981,30,77.441751
-132.407654,99,84.952831
-26.993685,5,85.389897
-28.505135,6,85.895504
-28.500152,6,86.412036
-22.833838,2,86.625602
-41.879369,16,87.862797
-64.596272,32,90.334208
-34.098168,10,91.170594
-57.480916,26,93.172656
-22.832522,2,93.389699
-31.294912,8,94.057715
-29.874719,7,94.66067
-25.667003,4,95.041114
-96.077877,60,99.596535
-22.835713,2,99.812089
-27.081863,5,100.241708
-89.299331,70,105.537656
-32.658859,9,106.279675
-149.134873,107,114.289413
-67.898547,35,116.981838
-229.262565,251,135.724034
-39.527166,14,136.879277
-31.314415,8,137.558219
-27.058195,5,137.992805
-29.91067,7,138.578868
-74.899153,46,142.089304
-28.510065,6,142.610804
-39.578085,14,143.712413
-27.065197,5,144.146496
-32.726237,9,144.882555
-34.174124,10,145.670767
-179.715858,158,157.626512
-412.233182,466,193.427228
-32.637617,9,194.175704
-102.881288,75,199.878171
-31.293698,8,200.540721
-102.409826,79,206.511641
-320.603343,500,243.963746
-22.835182,2,244.193702
-178.428232,119,253.018963
-59.47533,27,255.089067
-60.675074,29,257.355852
-31.219432,8,258.016914
-64.486403,32,260.515146
-70.305589,37,263.389352
-159.775343,105,271.007218
-28.504263,6,271.52673
-22.833897,2,271.757186
-316.087338,435,304.373746
-48.079224,20,305.953641
-31.159543,8,306.637551
-38.38264,13,307.657206
