#{"t_start": 1716370247.9241648, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-21.284917,1,1.493597
-16.749469,4,1.845618
-204.68694,149,22.060681
-0.519278,127,31.131611
-37.642116,7,31.702212
78.343799,110,39.781765
-24.25646,3,40.077597
-9.170329,26,42.03894
55.360021,47,45.472853
-57.949069,15,46.61489
-37.68874,7,47.182253
-19.201737,1,47.319865
-25.64534,4,47.670624
-41.214477,21,49.245573
8.670393,30,51.47266
-22.819067,2,51.678764
-25.127877,4,52.029358
-12.752034,9,52.738256
-21.418397,1,52.871444
-62.766022,17,54.150408
-66.106077,32,56.519057
-82.735781,60,60.888693
-17.604302,3,61.171731
-16.772285,4,61.526282
-25.151733,4,61.879894
-31.301377,12,62.808205
-99.26709,107,70.544044
-18.824963,92,77.196434
-19.201207,1,77.333902
-95.803277,30,79.557676
-0.49252,24,81.355579
-99.196694,69,86.421733
-24.23671,3,86.701062
-31.294137,8,87.346853
-15.152435,6,87.842164
-15.167333,6,88.335996
-22.833829,2,88.546223
-6.800732,16,89.758894
-62.581389,32,92.135297
-11.924155,10,92.923713
1.072462,26,94.854839
-22.832436,2,95.066815
-30.26096,8,95.710768
-14.337712,7,96.274672
-25.139541,4,96.621305
-101.09488,60,100.995777
-25.056975,2,101.200641
-27.093036,5,101.631492
-79.134744,66,106.446923
-38.015795,13,107.455284
-256.882564,101,114.73699
-45.513839,20,116.24673
-44.788664,21,117.812027
154.388781,178,131.180857
-168.384039,500,167.100415
-29.873782,7,167.671371
-148.592921,262,186.544311
-13.483733,8,187.185334
-31.389793,8,187.824584
-6.797675,16,189.04611
-8.6917,14,190.119503
-31.059925,15,191.264051
31.647152,70,196.364863
-25.465914,500,232.293611
-27.584654,3,232.57246
-53.88465,24,234.368932
-63.730729,32,237.227312
152.574006,96,244.107812
-15.216017,6,244.605032
-22.528458,1,244.73995
-236.421824,354,270.154637
-522.521909,500,306.137585
-17.570503,3,306.42049
-15.176684,6,306.914097
-17.574778,3,307.19715
90.85272,153,318.163538
69.267846,238,335.277315
546.548322,500,371.611016
-14.211848,7,372.175292
-252.542259,200,386.634838
-111.487295,500,422.526161
-17.570388,3,422.80529
73.618103,115,431.061566
-25.102997,4,431.41489
-177.580699,162,443.10423
-21.417773,1,443.242029
-33.967404,500,479.587695
-21.285054,1,479.722291
-29.770799,7,480.291178
-41.81107,17,481.575172
-248.830764,122,490.409702
-16.096475,10,491.189626
-113.545687,130,500.573273
-27.582154,3,500.850412
-21.417746,1,500.989409
-14.389205,7,501.559305
-17.605855,3,501.840713
30.610189,69,506.845813
-23.847316,3,507.129991
-19.193208,1,507.270479
-0.025137,41,510.22188
-106.255792,277,530.152088
-643.738374,500,566.033219
-8.522079,14,567.110265
-15.914039,5,567.536301
-31.27174,8,568.173848
-31.540639,9,568.884783
-30.198904,8,569.515894
-18.385397,2,569.725177
10.509696,500,606.141567
-299.994316,500,642.102407
-188.093874,116,650.489458
-4.607937,43,653.649469
-20.342844,21,655.221104
96.342591,188,668.733274
683.750071,335,693.230813
-269.677738,206,708.68019
-58.025291,15,709.825603
71.824806,50,713.485097
-34.171955,10,714.270312
-21.34598,76,719.808553
-205.855871,149,730.618344
-18.387202,2,730.832756
-6.687247,16,732.041653
-21.285262,1,732.179471
