#{"t_start": 1716347271.2624342, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,1.5525
-16.749165,4,1.8995
-204.086703,149,12.670607
28.068687,34,15.261607
-27.59359,3,15.552607
-52.028128,85,21.66161
-24.251547,3,21.939606
-19.193273,1,22.074607
-13.55324,8,22.705606
-230.371302,113,31.153106
-85.020719,26,33.127106
-42.81615,47,36.726605
-39.829559,14,37.904605
-21.28524,1,38.044105
-14.351613,7,38.676105
-21.417698,1,38.827105
-25.105972,4,39.221605
-5.879847,23,40.982605
-58.867514,28,43.027105
-25.051615,2,43.235105
-25.662952,4,43.586105
-12.762564,9,44.293605
-19.201985,1,44.427604
-14.650493,17,45.703604
-61.05234,32,48.069104
-38.777952,21,49.675105
-29.812263,7,50.259104
-4.148616,33,52.791104
-18.405319,2,53.001104
-30.114576,4,53.358104
-16.774087,4,53.724104
147.404932,128,63.235604
-82.573396,62,67.916103
-22.828288,2,68.124603
-17.559776,3,68.419106
-9.752939,23,70.170103
-54.09049,24,72.019103
-3.021423,99,79.507102
-26.323724,5,79.944154
-15.237784,6,80.456602
-15.19156,6,80.959102
-22.833803,2,81.209602
-44.519818,36,83.847602
-18.385978,2,84.053601
-37.633089,20,85.570602
-56.477132,26,87.552101
-25.056345,2,87.769102
-31.32898,8,88.455602
-29.89236,7,89.028601
-25.667201,4,89.387101
-161.89349,60,93.909101
-22.570951,2,94.120101
-26.413202,5,94.587104
-18.338866,70,99.898601
-32.683361,9,100.618604
-97.205984,107,108.4406
-17.053003,14,109.5611
-38.568455,21,111.1926
-332.452284,182,125.204598
-8.692158,273,145.473098
-24.253163,3,145.754097
-102.106032,500,182.694095
-15.967214,5,183.242094
-42.33048,16,184.484594
-10.717485,14,185.562094
-7.694235,15,186.729094
-120.710642,83,192.929094
-54.274491,79,198.719593
-256.774873,500,235.86409
-18.40381,2,236.06859
-129.26398,211,251.436089
-30.115601,4,251.780589
-69.096469,37,254.542589
-272.921248,322,278.152587
-11.019902,11,278.995087
-41.134943,55,283.042087
-199.688544,156,294.450586
-64.217792,45,297.773586
-323.884319,342,322.634084
-12.737792,9,323.411615
-142.989023,49,327.030583
-46.273351,19,328.453583
-62.06898,30,330.676083
49.8145,35,333.260583
-48.610371,202,348.578582
2.002384,27,350.578082
-80.470336,24,352.403581
-23.843972,3,352.682582
-20.662935,25,354.554581
36.649207,423,385.694579
-47.106584,103,393.211578
-177.309274,203,408.176078
-25.660829,4,408.547577
-102.009067,61,413.168077
-31.248249,25,415.082077
-90.622397,28,417.201077
-31.501281,35,419.816077
-106.887493,96,426.744076
4.825532,31,429.075576
-42.745827,35,431.667576
-25.642548,4,432.030576
71.97802,152,443.106075
-16.756169,4,443.449575
-23.84724,3,443.732575
-16.772548,4,444.088074
-3.049088,21,445.667575
-50.491111,51,449.570074
-2.711366,21,451.160074
-21.417985,1,451.299074
18.478577,80,457.217074
-11.245584,11,458.092574
-366.219097,190,472.566072
7.270572,134,482.384072
-92.808324,52,486.297072
-8.722535,256,505.05357
-125.699125,42,508.21307
-15.194857,6,508.71207
-27.040365,5,509.13907
