#{"t_start": 1716347235.295946, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,1.507498
-16.749138,4,1.854587
-187.745622,131,11.225763
-16.780117,4,11.58582
-22.528347,1,11.722485
-12.787211,9,12.443557
-25.652413,4,12.798692
11.408102,126,21.809559
-13.587424,8,22.441559
-231.50759,110,30.424991
-27.586447,3,30.71549
1.149345,26,32.69049
-86.24734,46,36.151489
-39.214053,15,37.278989
-19.201787,1,37.414488
-29.868692,7,37.978988
-21.284881,1,38.115488
-16.755088,4,38.458992
-51.987934,23,40.149491
-90.271032,28,42.196596
-22.822924,2,42.401599
-16.763852,4,42.750096
-12.814731,9,43.455096
-19.193255,1,43.601096
-27.452008,17,44.958099
-49.663213,32,47.374596
-45.257104,18,48.781096
-11.934454,10,49.607095
-10.703907,35,52.319595
-30.11359,4,52.668595
-16.762433,4,53.019095
13.383365,215,68.791097
-59.181287,27,70.861594
-122.170266,98,78.160093
-15.147135,6,78.649093
-15.132337,6,79.147093
-28.491916,6,79.632093
-18.402252,2,79.838097
-40.716656,16,81.036093
5.60513,32,83.382593
-11.920181,10,84.206093
-56.088632,26,86.184093
-22.567401,2,86.393593
-13.550823,8,87.052592
-28.972529,7,87.627593
-25.666395,4,87.989593
-161.775084,60,92.531592
-22.835745,2,92.741592
-27.087235,5,93.175592
-86.13401,66,98.120595
-52.780345,13,99.139592
-93.5748,101,106.704095
-44.216011,19,108.171091
-2.139438,22,109.871591
-158.041472,236,127.83559
-133.062772,410,158.074588
-25.628296,4,158.422587
-154.808319,333,182.983585
-12.012813,10,183.759585
-40.936078,15,184.906085
6.008552,76,190.584584
-15.15992,6,191.124584
-21.285148,1,191.261584
-57.530471,79,197.100584
-267.649008,500,234.265082
-18.403991,2,234.467081
-101.614044,175,247.10358
-40.226867,8,247.74258
-318.108695,399,276.882078
-24.252891,3,277.162078
-4.180639,19,278.656078
26.390276,36,281.344578
-239.80896,160,292.959577
-9.981303,15,294.114577
