#{"t_start": 1716301726.1118279, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,1.7035
-16.747718,4,2.093
-194.665787,136,11.889061
-12.613773,9,12.63256
-30.110159,4,13.00056
-31.239494,35,15.667991
-22.832266,2,15.885491
-35.890528,87,22.25551
-19.193195,1,22.39951
-22.528349,1,22.54401
-40.209583,8,23.206566
-44.701678,110,31.481324
-24.256161,3,31.772324
-50.527183,26,33.819194
-0.546191,46,37.387023
-42.563782,16,38.677552
-28.88773,7,39.267523
-19.193085,1,39.411
-25.649714,4,39.775474
-75.46008,22,41.483294
-59.700203,29,43.70891
-18.387595,2,43.928048
-16.799745,4,44.294048
-12.825808,9,45.072548
-21.285692,1,45.220048
-37.779595,17,46.514048
-66.426119,33,49.027945
1.884818,27,51.117716
-11.16559,11,52.002716
-80.516394,24,53.863471
-16.775391,4,54.234471
-25.149114,4,54.605937
-35.577401,11,55.501045
-112.554738,108,63.621328
-20.706298,92,70.438384
-19.192941,1,70.584887
-63.052241,30,72.921847
-0.584,24,74.754671
-100.876541,69,80.108795
-17.589865,3,80.404295
-13.543537,8,81.093295
-28.513432,6,81.623298
-27.70694,6,82.138795
-18.384488,2,82.358795
-60.155278,47,85.886804
-35.426209,11,86.784804
-85.688923,26,88.785803
-22.832636,2,89.001303
-31.307203,8,89.664804
-29.878485,7,90.259303
-30.113025,4,90.622804
-29.129222,60,95.134404
-22.57087,2,95.354404
-15.966973,5,95.826404
-89.858558,69,100.978652
-32.725268,10,101.763151
-107.437033,115,110.3009
-26.4205,5,110.7534
-75.597417,22,112.484517
118.592725,247,130.956464
-115.800464,315,154.103445
-265.767787,335,178.486614
-18.396966,2,178.694114
-289.261705,322,202.043938
-360.406682,482,237.066478
-62.410655,30,239.297478
-35.165357,6,239.800478
-21.285003,1,239.937978
-37.099666,12,240.898478
-491.142652,256,259.389976
-27.078456,5,259.816477
-6.581627,34,262.454477
-15.942989,5,262.908477
187.156846,220,279.318475
-119.529774,40,282.284975
-140.762836,343,308.003476
-13.502227,8,308.659473
-132.659237,49,312.323473
-70.502082,42,315.534972
-25.054933,2,315.742474
-248.807684,241,333.357471
-52.219328,23,335.119971
-35.339823,12,336.045471
-307.499538,370,363.194968
-14.41008,7,363.771968
-90.933918,28,365.889469
-35.402327,32,368.235468
-14.277103,7,368.795968
-14.39137,7,369.369468
-21.284948,1,369.504969
-48.190801,20,371.034468
-21.417516,1,371.167468
-116.072992,158,382.978967
-139.976407,129,392.652466
-45.253664,10,393.455466
-19.19343,1,393.594967
-260.576718,411,423.683464
-9.676334,13,424.704964
-41.53187,26,426.681964
-108.401234,69,431.804466
-25.11004,4,432.151464
-85.763399,115,440.624463
-79.595326,44,443.862962
-16.770188,4,444.207963
29.702374,94,451.152462
-56.121693,80,457.095462
-7.698665,198,471.741961
-234.991378,258,490.394959
-205.739212,221,506.618458
-26.421222,5,507.043458
-55.348017,14,508.156458
-16.807785,4,508.524958
-108.340269,241,526.211956
-265.956178,176,539.021456
-88.489571,50,542.746956
-13.470016,8,543.387955
200.328193,162,555.398454
-11.730812,63,559.965454
-30.219695,8,560.617954
-0.881285,18,561.986954
-15.156874,6,562.502454
-54.545387,60,566.942954
-102.545261,36,569.691953
-16.805297,4,570.063453
-15.920396,5,570.500953
-57.986541,27,572.546953
-160.370116,166,584.974452
397.842597,444,617.50945
-45.24897,10,618.32545
73.741018,86,624.65295
-38.288455,32,627.116449
-19.193373,1,627.254951
-19.193142,1,627.403949
-235.631413,382,655.510448
-19.193335,1,655.665947
-11.233564,57,659.892947
-129.818031,158,671.440946
-17.572429,3,671.719446
-407.000705,249,689.826445
-51.441342,155,701.118444
-22.571613,2,701.320444
-28.510018,6,701.811444
-205.324633,194,716.068943
390.312928,269,735.474442
-37.008499,12,736.403441
-21.417539,1,736.540441
-166.165109,69,741.66394
28.967706,207,756.96794
-25.080131,4,757.35144
-153.408845,146,768.038939
227.844957,144,778.563438
-27.585654,3,778.844938
-58.07733,15,779.975438
-70.412924,20,781.524938
-30.113635,4,781.877438
-162.017564,171,794.295437
-57.419436,27,796.335936
-25.145613,4,796.691437
151.874327,264,816.199935
-236.724009,174,829.006934
-21.418139,1,829.143434
19.276779,113,837.226934
-9.628422,13,838.264434
-31.479096,9,838.996434
-64.816464,80,844.833433
-54.33594,51,848.508433
-121.319378,100,855.832932
-50.331134,12,856.791932
-28.976846,7,857.364932
-156.441728,154,868.602931
-236.062189,262,887.97793
-27.547327,159,899.648929
-125.379894,117,908.262429
-0.2324,25,910.197428
-158.710453,240,928.110927
-452.914972,280,948.320425
-15.173591,6,948.822925
-66.791201,103,956.300425
-260.435121,157,967.680424
-107.53234,98,974.892424
-233.163343,149,985.697923
230.534861,88,992.311422
-175.447225,221,1008.463421
-101.037792,182,1021.74942
-32.736883,9,1022.42892
-28.510162,26,1024.37592
-97.101101,140,1034.84342
340.845885,204,1049.608418
-21.418309,1,1049.752418
-248.626023,236,1066.932417
-17.578089,3,1067.215417
-44.507405,19,1068.647917
-337.94702,252,1086.844415
-150.163657,161,1098.541914
-45.209837,10,1099.348414
