#{"t_start": 1716216614.320581, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,1.557011
-16.73769,4,1.909644
-192.932799,136,11.618513
-12.613773,9,12.34352
-30.109672,4,12.695656
-51.925152,127,21.856986
-29.866874,7,22.428649
56.622378,110,30.46279
-17.580312,3,30.74738
-85.645449,26,32.696772
-138.985175,47,36.176227
-11.991672,10,36.960463
-27.08523,5,37.388589
-28.882699,7,37.982105
-19.20164,1,38.125145
-25.650277,4,38.476785
-49.631612,23,40.193266
-26.70226,28,42.238038
-22.822806,2,42.445148
-30.113033,4,42.795797
-32.74813,9,43.497086
-19.193256,1,43.634663
-5.880756,17,44.901162
-12.312808,32,47.279199
-43.495154,18,48.667878
-32.821064,10,49.487874
-35.301821,11,50.364986
-0.80427,24,52.202651
-16.800195,4,52.560747
-30.114429,4,52.91338
-10.223715,12,53.842642
33.233155,107,61.742614
-85.350654,92,68.448104
-21.417384,1,68.58568
-16.4537,30,70.825148
47.134651,99,77.917044
-27.017992,5,78.3407
-15.230482,6,78.83687
-27.7069,6,79.326583
-18.402247,2,79.544122
-6.926385,16,80.787774
-34.170227,10,81.582937
-33.978307,22,83.242795
-18.144651,10,84.028024
-8.434056,28,86.099122
-31.302381,8,86.742305
-37.693644,7,87.311484
-25.666395,4,87.661634
-97.153169,60,92.107293
-22.835789,2,92.310926
-32.64117,5,92.738555
-73.598064,66,97.638667
-26.452044,13,98.645406
-105.883466,101,105.943918
-47.533213,19,107.389213
-35.846456,22,109.037152
-211.229,247,126.95786
-90.224439,89,133.374786
-22.528441,1,133.512363
-8.525493,14,134.578208
-27.035468,5,135.002361
-42.783025,9,135.716568
-11.881144,10,136.513717
37.936354,152,147.531759
-15.17302,6,148.033394
-161.649091,190,162.692993
-6.995628,16,163.923728
-144.304535,171,176.576795
-81.222879,192,190.684597
-78.194888,151,201.662906
-104.386714,192,215.769221
-506.056527,300,237.527168
-14.291489,7,238.113731
-55.396358,157,249.726779
-36.667777,13,250.746931
-22.560679,2,250.976888
-102.665108,173,263.540058
-416.011622,217,279.551088
-151.350248,147,290.374434
-189.398626,163,302.459811
-266.781949,172,315.96466
-265.756204,245,333.938514
-119.029035,123,342.991742
-301.483953,194,357.07074
