#{"t_start": 1716272418.7139635, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,1.577508
-16.747718,4,1.924975
-484.111955,492,37.086684
-16.756043,4,37.44627
-77.815072,23,39.216389
-1.393931,28,41.314827
-22.822806,2,41.538821
-16.764857,4,41.900322
-12.888848,9,42.635883
-22.528212,1,42.774452
-62.830729,17,44.074136
-6.672111,32,46.453161
-45.310309,18,47.821476
-32.821064,10,48.613659
-11.016353,11,49.496731
-53.79566,24,51.336508
-25.135062,4,51.691346
-16.772567,4,52.041496
-56.067835,217,67.781961
-82.823941,25,69.725008
-116.732392,99,76.999243
-15.937575,5,77.420909
-15.235061,6,77.920232
-15.166659,6,78.407958
-22.567827,2,78.619359
-48.832182,39,81.514282
-46.320144,19,82.99683
1.370849,26,84.935318
-18.40055,2,85.145408
-40.220135,8,85.774188
-14.344183,7,86.33691
-25.139215,4,86.690536
-99.633531,60,91.016002
-22.835745,2,91.225595
-15.948915,5,91.654715
-21.878704,66,96.555816
-38.118165,13,97.566035
-63.895125,101,104.980764
-44.25039,19,106.390799
-2.068985,22,108.023838
59.068746,246,126.735735
89.117806,119,135.455702
-45.298526,10,136.234972
-439.89392,285,157.304046
-30.243744,8,157.954182
-686.130838,500,194.296237
-466.482276,383,222.105072
-9.068904,24,223.89754
-27.63616,6,224.388247
-32.844531,9,225.090036
-7.767417,15,226.252235
-99.145707,32,229.498448
-117.845912,96,236.443328
-35.172763,6,236.969794
-21.285103,1,237.112833
-37.045371,12,238.049052
-244.171031,95,244.968105
-31.244424,8,245.609301
-0.3859,82,251.615485
-32.416888,21,253.177004
-290.033825,284,273.808019
-57.944645,15,274.945384
-46.395944,19,276.430916
3.468738,36,279.070196
-397.909288,161,290.861051
-39.746451,14,291.91895
-85.107802,26,293.867371
761.798581,329,318.271559
-50.478191,22,319.929927
-104.094916,101,327.336713
-53.238817,32,329.720211
-204.133667,237,347.628502
-7.096046,16,348.843847
-27.582887,3,349.123964
-52.716557,25,351.031657
-320.192022,320,374.231431
-75.783485,130,383.860794
-270.86397,231,400.562187
-21.417936,1,400.719631
-27.072526,5,401.157193
-76.735792,42,404.240993
-25.106449,4,404.592136
-158.140383,61,409.096405
0.453615,25,410.940526
-91.993733,86,417.132957
-37.934827,51,420.837592
-29.152537,12,421.776288
-29.918269,7,422.358381
-101.456878,69,427.429346
-16.737432,4,427.792405
-44.820208,115,436.07779
-51.233781,44,439.284763
-16.786757,4,439.634916
57.396821,93,446.496356
-19.201882,1,446.631449
-119.989451,80,452.382843
-24.843775,199,467.610627
252.969489,278,487.53737
-28.503478,6,488.036022
-131.275798,197,502.431394
-25.0552,2,502.637014
-4.364769,14,503.69988
-25.668749,4,504.043576
-254.664717,129,513.370963
-24.246396,3,513.652076
-197.203315,274,533.385119
-1.948396,61,537.751311
-13.399239,8,538.434227
-183.173147,158,549.773115
-61.42466,70,554.887286
-16.005423,5,555.308956
-45.18307,18,556.657901
-134.42849,57,560.726094
26.068948,45,564.015514
-16.770481,4,564.364173
-27.043935,5,564.786339
-50.821491,27,566.801814
-314.881949,265,586.651073
-18.403729,2,586.865633
-373.020663,272,606.643873
-18.385745,2,606.864889
-160.645288,165,618.803253
-30.622414,33,621.345193
-19.193301,1,621.481277
-232.011426,434,653.135301
-15.094361,6,653.645377
-66.830404,156,664.905296
-22.342146,5,665.324978
-213.034274,239,683.44336
-5.131091,188,697.108135
-27.607712,6,697.602815
-104.549905,132,707.224728
-45.504246,19,708.66059
-408.606584,455,741.597999
-323.834072,411,771.449621
-240.204762,319,795.14755
-175.447298,202,809.764435
-4.094371,283,830.274264
