#{"t_start": 1716301935.6148045, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,1.527004
-16.747718,4,1.876
-179.162775,131,11.381499
-16.747847,4,11.751499
-22.528396,1,11.895499
-12.761517,9,12.622999
-25.655351,4,12.983999
1.144631,127,22.264003
-14.366732,7,22.861002
-231.161233,110,30.977002
-27.586446,3,31.272501
-2.819326,26,33.251002
-86.613492,46,36.696501
-34.024901,11,37.577501
-16.00278,5,38.012501
-29.891233,7,38.588501
-21.28497,1,38.731001
-16.756043,4,39.102001
-128.126477,84,45.310001
-101.14937,32,47.6625
-45.177212,18,49.0395
-14.053262,10,49.8395
-11.016353,11,50.716
-10.795446,24,52.5935
-25.134352,4,52.969
-25.147797,4,53.341
-188.638468,212,69.337499
-12.374761,30,71.600499
8.772685,99,79.234998
-32.648558,5,79.698498
-15.131629,6,80.240998
-27.7069,6,80.770998
-22.83384,2,80.986998
-74.654433,39,83.989997
-23.822953,19,85.500497
2.548007,28,87.662001
-31.307203,8,88.317497
-14.387703,7,88.942997
-25.139545,4,89.318497
-30.829999,60,93.948497
-18.403656,2,94.178997
-27.082512,5,94.636997
-75.366029,70,99.951996
-12.701432,9,100.689496
-121.835218,107,108.952996
-67.573828,35,111.712496
-443.743125,246,130.383494
-271.720951,345,155.738492
-17.601143,3,156.034492
-433.144847,304,179.38249
-22.52838,1,179.51899
-325.500286,354,205.49799
-181.029133,175,218.327987
-220.967586,90,224.900487
-11.246148,11,225.768487
-96.321051,108,234.153486
47.449046,103,241.532486
-377.594679,179,254.604485
-21.285257,1,254.739984
-18.385633,2,254.946485
-18.39316,2,255.151985
-252.512081,277,275.450983
-41.033033,15,276.608983
-21.417427,1,276.747983
-21.41796,1,276.885483
-23.819811,3,277.165483
-515.494796,235,294.335481
-62.969775,57,298.636981
-282.836131,302,320.53048
-315.492279,359,347.256478
48.129438,233,364.275477
-22.566026,2,364.484476
-36.860571,12,365.404977
-24.245501,3,365.683476
-36.958262,13,366.668476
-99.601723,35,369.313476
-16.756305,4,369.678976
-14.339904,7,370.249476
-4.94938,21,371.870976
-19.192809,1,372.010476
-31.475367,9,372.728476
49.95222,260,391.927474
-17.607533,3,392.213475
-300.565056,330,416.367473
-283.111918,328,440.580471
-13.570992,8,441.231471
-88.248415,46,444.722471
-99.215625,355,471.24747
-35.155246,6,471.764968
-347.842905,230,488.373967
-19.193144,1,488.507467
-25.658713,4,488.856967
-16.784903,4,489.211467
-287.696837,172,501.827467
-241.037369,251,520.058465
-237.190176,250,538.303963
-58.421868,68,543.342963
-26.149079,8,543.997963
-313.369721,292,565.289961
-32.781896,10,566.115962
-15.116884,6,566.544461
-25.127846,4,566.894961
-243.345513,205,582.34746
-569.703048,389,610.853958
-187.47454,233,627.755457
-112.002639,235,644.682956
-164.524557,198,659.222955
-151.059848,184,672.998954
-68.437596,34,675.532954
-269.448508,266,695.431952
-15.976718,5,695.906452
-135.806208,165,708.127451
-283.641841,316,730.98445
-16.767874,4,731.332949
-42.25135,72,736.550949
-169.063068,77,742.221949
-179.851778,220,758.191947
-215.651345,142,768.524446
-130.122589,150,779.642946
-4.465141,19,781.104945
-25.140526,4,781.454446
-145.019894,146,792.068945
-571.106222,371,819.820443
-243.852161,238,837.206441
-10.263288,12,838.155441
-12.764251,9,838.860942
-86.606892,81,844.842941
-630.327617,482,879.697938
-18.400589,2,879.909938
2.051082,332,904.088936
-297.328545,500,941.185434
-94.659011,96,948.203434
-264.520912,458,981.354931
-22.5284,1,981.488931
-140.005962,146,992.113431
-174.906626,285,1012.768429
-21.41824,1,1012.905928
-140.301562,307,1035.524927
-319.026701,500,1071.631425
-145.487367,215,1087.095423
126.923048,377,1114.339421
115.338138,42,1117.398921
-341.236029,206,1132.26042
-286.105765,391,1161.359918
-314.550897,500,1197.269915
-242.610474,450,1229.659912
34.339589,26,1231.564413
38.148586,349,1257.442911
-423.176609,290,1278.459409
-324.442308,251,1296.588908
-189.498763,346,1321.578406
-313.421733,458,1355.323849
986.776702,500,1391.978346
277.304193,295,1413.309848
160.764696,282,1433.686843
-16.92869,9,1434.395343
-749.065978,500,1470.27684
-281.573855,179,1483.826339
-67.922336,59,1488.152339
-27.059614,5,1488.570842
426.193441,327,1512.354337
-627.488908,440,1544.046335
-341.436186,500,1580.100332
-34.075991,10,1580.882332
-249.790212,337,1605.774831
-276.613017,500,1641.857565
-316.233591,171,1654.292564
-452.152717,298,1675.970062
-610.305251,347,1701.802561
58.883739,233,1718.63956
776.718464,337,1743.314058
-203.987005,500,1779.572555
75.33388,163,1791.536054
-50.47295,12,1792.464054
151.058128,471,1826.973551
-18.384231,2,1827.185051
-64.53052,84,1833.331051
806.492995,500,1869.365048
-135.480275,189,1883.047547
-200.804238,115,1891.449547
-15.968247,5,1891.883547
13.715731,244,1909.600045
-32.683293,9,1910.309545
-86.085039,109,1918.294545
-235.51645,481,1953.637042
-18.385968,2,1953.842542
-189.239728,223,1969.972041
146.072937,500,2006.225538
-58.378235,68,2011.188038
356.21894,217,2026.694037
-22.833015,2,2026.901037
-50.156343,22,2028.534037
1046.190728,433,2060.381034
-693.900478,500,2096.656031
-35.161507,6,2097.083031
1199.049447,500,2133.274029
-307.275693,164,2145.870528
-338.832182,216,2161.537527
396.961442,201,2176.195526
31.988583,200,2190.693024
-85.815347,185,2204.198523
-93.979125,376,2231.344022
-15.006245,6,2231.855021
-220.922788,350,2257.66652
-199.915881,260,2276.448518
592.78768,153,2287.541517
-230.965291,303,2309.278016
757.616595,500,2345.736513
-108.305474,500,2382.400511
80.438951,57,2386.51151
-750.249889,470,2420.420508
436.818538,156,2431.789006
390.538967,168,2443.962506
1291.189921,388,2472.049004
756.388644,500,2508.540501
-749.257146,500,2544.467999
1343.055639,500,2580.414996
824.200997,500,2616.944493
-291.428683,173,2629.492492
289.206185,500,2665.689989
-82.415168,448,2698.183487
160.66653,456,2731.474485
-136.629316,500,2767.529482
-731.00611,500,2803.927479
-390.149815,240,2821.944978
410.811234,163,2833.940477
-5.225971,100,2841.234477
578.813539,208,2856.307475
486.005796,194,2870.389974
-313.272509,189,2884.068973
105.770695,159,2895.601472
-59.595057,252,2913.854972
157.217567,477,2948.908968
-739.750646,500,2985.160466
339.795362,260,3003.980964
179.267587,182,3017.143463
28.601527,261,3036.752962
1015.248162,443,3068.88096
-793.161421,500,3105.025957
243.829338,294,3126.381956
1302.657061,500,3163.373453
-759.182195,500,3199.49195
1996.994749,500,3235.697447
-744.411271,500,3272.408445
-23.527133,6,3272.903945
433.93019,187,3286.388444
4.44056,239,3303.668442
827.287615,500,3339.776439
2714.6873,500,3376.375937
-10.405575,12,3377.306437
2595.298182,500,3413.328434
397.255803,500,3449.444932
-767.028176,500,3486.123429
-59.687114,156,3497.445428
2281.897918,500,3533.390425
831.821413,224,3549.554924
-80.800669,193,3563.595923
-329.499995,172,3576.052922
808.787813,232,3592.834421
-719.892263,500,3629.715418
-771.342764,500,3665.930416
1076.647563,416,3695.989915
1168.603217,500,3732.325411
1245.46121,500,3768.249908
-740.555136,500,3804.477906
