#{"t_start": 1716255148.7924685, "env_id": "manipulator_mujoco/UR5eEnv-v2"}
r,l,t
-21.284918,1,1.670289
-16.749421,4,2.017955
-191.004039,131,11.385078
-16.747831,4,11.744664
-22.528347,1,11.879761
-12.746126,9,12.627737
-25.657164,4,12.982356
37.118623,35,15.562537
-18.383616,2,15.767164
-187.865986,86,22.351963
-23.861601,3,22.632083
-13.559885,8,23.266326
-41.665991,113,31.453867
177.047344,74,36.965372
-37.909252,14,38.063004
-14.346155,7,38.63268
-19.193039,1,38.77473
-25.625014,4,39.124379
-52.670389,23,40.97049
-90.943653,28,43.027182
-27.709992,6,43.522855
-12.867096,9,44.229611
-19.201981,1,44.366691
-144.886979,50,48.096653
-165.644163,67,53.144272
-23.853649,3,53.478527
549.864968,347,80.312904
-35.566129,11,81.237199
-5.24419,18,82.691437
-80.827439,44,86.04145
-0.830061,24,87.991858
-22.828268,2,88.250124
-13.615352,8,88.961848
-14.410153,7,89.60503
-30.11504,4,90.01776
-490.630654,269,110.503748
-10.865701,19,112.07669
-282.707816,168,125.051596
33.886497,176,138.274836
-14.396156,7,138.922488
-32.644662,5,139.731061
-4.505419,19,141.235463
-277.03689,281,162.539957
-485.101173,331,187.620604
-49.299821,21,189.330627
-85.682373,264,209.435673
-312.28624,257,228.950678
-110.652705,187,243.34009
-5.929383,17,244.732246
-35.176333,6,245.301922
-19.202219,1,245.489164
243.140594,338,271.184188
-382.820358,219,287.899487
-57.9027,15,289.105393
-596.327661,391,319.061315
-21.285337,1,319.244088
-18.404073,2,319.503844
-22.570631,2,319.769064
-19.193073,1,319.951837
-17.575585,3,320.278147
-514.960958,306,343.33041
-55.437711,14,344.519925
-245.040727,334,369.783842
-178.369263,245,388.470906
-469.369426,326,413.53268
-111.988761,70,418.814228
-37.999737,199,434.027112
-21.418118,1,434.205415
-123.062359,234,451.666707
-77.911575,44,455.428456
-25.669925,4,455.831252
-77.009947,85,462.341055
-42.774063,9,463.123802
-72.979222,21,464.79558
-19.202369,1,464.973387
-300.92751,330,489.641304
-215.530994,235,507.371789
-203.585135,431,540.043979
-97.368074,220,556.726001
-40.24476,8,557.423321
-134.226832,191,572.080932
-73.442035,172,585.063786
-31.249033,8,585.765078
-131.465507,46,589.5606
-149.365661,240,607.419225
-159.050019,317,631.87457
-31.719983,172,645.10228
-19.193045,1,645.285053
-507.727146,366,673.110278
16.260355,289,695.200498
99.332864,219,711.612333
-149.93208,175,724.735744
-172.126835,186,738.830135
-131.549124,281,760.157476
-12.894729,41,763.356503
243.690602,203,778.896691
-175.308385,323,803.594407
-187.017974,263,823.82809
42.807124,331,849.09598
219.825597,285,870.889195
-12.468788,27,873.039262
-391.238608,257,892.580095
-600.692075,454,927.335303
