#{"t_start": 1716470062.9891818, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-26.563018,5,1.28
-22.599741,2,1.4835
-1641.575337,500,44.664996
-83.675488,24,46.835497
-1459.724632,500,90.742691
-65.624526,161,105.065191
-127.234214,62,110.618114
-43.21148,9,111.526611
-22.864296,2,111.80661
-125.781716,63,117.36111
-195.306104,158,131.159184
-638.761189,315,158.631979
-347.275658,267,181.539302
-1624.743293,500,225.209812
-1334.201711,500,268.181808
-544.618483,500,311.670305
-1076.981256,411,347.256759
-346.72669,149,360.513758
-1282.576968,500,404.413244
-48.474109,11,405.491744
-40.586471,8,406.326744
-1678.344924,500,450.279469
-480.111929,183,466.793174
-1403.579812,500,511.361823
-4.112312,23,513.562225
-60.22085,56,518.656225
-195.86613,62,524.326571
-0.240588,31,527.178571
-174.034551,55,532.25907
-64.006386,58,537.567339
-1435.784603,500,582.866855
-1629.041537,500,627.57566
0.218751,41,631.38866
-4.507269,23,633.468159
2.763163,38,636.82216
-675.017203,500,680.857827
-228.087527,93,689.053287
-11.84829,11,690.133287
-19.212177,1,690.348787
174.726766,500,734.179298
582.320711,500,778.213968
-1507.547808,500,822.157967
-496.916989,500,865.853713
44.970169,500,909.365538
-1525.419497,500,953.573503
-1586.924639,500,997.362365
-1586.124252,500,1041.362295
-69.819503,500,1084.655492
318.594935,500,1128.119193
-325.799899,141,1140.576281
-246.953284,92,1148.842494
-228.713553,93,1157.043651
-8.382864,16,1158.594227
-790.319381,500,1202.186912
-3.32454,24,1204.372912
-279.733232,500,1248.502513
858.344535,500,1291.758825
-446.994296,172,1306.950423
-1502.163935,500,1349.880419
995.467259,500,1393.268521
-7.488795,17,1394.966522
-448.385864,182,1410.679688
-1873.860878,500,1453.913747
702.360641,500,1497.884649
-365.714696,158,1511.718148
-32.36343,500,1556.256498
11.459244,145,1569.296038
-1446.919709,500,1614.2268
1491.989278,500,1660.033623
445.443333,178,1674.936817
1014.031072,500,1719.645172
1219.636626,500,1765.450209
1637.107148,500,1810.690706
-221.90403,98,1819.587689
-1169.710194,500,1865.080266
618.9609,500,1910.318029
1594.411188,500,1955.969975
-1640.826357,500,2001.246046
1593.57181,500,2046.327786
-1835.78824,494,2090.43123
1572.662059,500,2136.016489
-377.069653,154,2150.226718
-1520.319188,500,2195.298852
1626.382859,500,2239.891436
2161.15458,500,2285.058917
2039.045449,500,2330.284189
1473.060893,368,2360.997556
2065.346516,500,2405.849467
1599.905587,500,2451.331287
2542.378509,500,2495.824221
2610.302786,500,2540.84727
-1906.983155,500,2585.261865
2433.97581,500,2629.731925
1114.936767,500,2674.885192
