#{"t_start": 1716514038.9871895, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-56.102819,5,1.234324
-52.420886,2,1.436933
-1681.740902,500,44.931927
-110.480063,22,47.000427
-239.55049,170,62.477935
-943.257203,351,94.725919
-52.716018,2,95.004919
-1151.202322,406,132.541922
-277.427301,75,139.433921
-1539.0927,500,185.198306
-1531.473151,500,230.505369
-361.64852,172,245.706271
-232.545269,68,251.680019
-271.040616,73,258.144632
-926.435993,385,291.860678
-1490.657973,500,336.354221
-1483.329563,500,380.991918
-34.196979,39,384.573627
-191.728442,86,392.280003
-1557.419283,500,435.997276
-168.092162,86,443.712403
-134.13814,98,452.576682
-295.669154,79,459.800986
-1598.254499,500,505.08917
-1154.879622,500,549.715505
-1069.046358,388,583.353721
-142.556221,33,586.43018
-164.576565,128,597.13915
-1383.302842,500,647.546499
-1602.262185,500,691.095654
-1439.148165,500,734.013072
-1982.616993,500,777.031114
-1907.555732,500,819.620782
-857.196671,500,862.177202
-1557.99254,500,903.673872
-413.917757,500,945.985749
-1848.828248,500,988.292674
-55.470819,4,988.734064
-54.088543,3,989.093388
-1660.808512,500,1030.779104
-100.562385,85,1038.123024
-1798.473933,500,1080.845671
-199.417753,118,1090.946537
1202.832483,500,1133.128666
-211.252007,73,1139.398224
-183.332726,60,1144.649653
-1087.937303,500,1187.093838
-570.149864,203,1204.471329
-208.956082,69,1210.561618
-1459.040906,500,1252.652524
-1469.567191,500,1294.284528
-743.815434,500,1336.62829
-1643.195984,500,1377.772077
-695.750064,500,1419.647357
-275.12028,144,1431.89488
540.187879,500,1473.863649
-1618.193369,500,1516.008735
-90.300448,28,1518.488319
-2017.379994,500,1560.671323
-2068.870171,500,1603.033557
-21.31417,39,1606.460963
-104.819907,39,1609.841958
1098.690111,500,1651.406616
-1178.757761,500,1693.292074
-1965.990787,500,1735.613773
-483.736101,500,1778.246038
-19.620348,54,1782.948438
-581.352003,500,1825.32902
-976.549371,500,1867.674411
-614.505417,500,1909.874501
-1285.385439,500,1951.75864
-481.185322,500,1994.205131
-1224.645159,500,2036.426165
-1173.740225,500,2078.818105
-2263.721671,500,2121.307596
-184.578095,203,2138.669093
-1129.469202,500,2180.939743
-1134.815537,500,2223.657173
-142.935181,199,2240.450922
-1352.311424,500,2282.858748
49.198573,49,2287.095135
-915.317149,500,2329.712214
-593.557835,500,2371.463629
-438.329171,500,2413.762006
-246.512719,500,2455.661645
-300.124889,87,2463.179229
-211.084624,500,2504.985752
-304.65286,500,2547.165466
1665.090135,500,2589.272181
-278.855529,500,2631.428583
-1372.940793,500,2673.615619
-266.043499,500,2715.593013
569.441284,500,2757.724588
-1288.205214,500,2799.793078
-325.271534,500,2843.633132
-959.756768,500,2886.821301
1197.485686,500,2928.922164
551.918082,500,2971.745724
-234.455518,500,3013.935598
1153.60703,500,3056.245129
1035.520395,500,3098.678018
-1271.671641,500,3141.83678
537.138619,500,3184.75416
-248.369813,84,3192.255466
-280.423778,96,3200.651211
-1863.439055,500,3243.250781
-349.609519,500,3285.458116
-1491.357801,500,3328.685185
-225.909589,131,3339.704148
709.422814,500,3380.253332
-328.322964,500,3422.02345
-189.354966,500,3463.503618
-465.64442,500,3508.151307
1020.554104,500,3550.274541
-539.925736,500,3593.106463
-524.121436,500,3636.374861
-210.935965,500,3679.582909
1384.266142,500,3721.241369
144.064723,500,3764.321258
1273.249111,500,3807.463408
-26.365088,500,3850.399917
1515.198834,500,3893.190671
-42.071092,500,3936.08853
1537.407733,500,3978.978348
-38.619509,13,3980.241411
-1786.228344,500,4023.714737
1251.38878,500,4067.235306
-32.292671,21,4069.205093
456.341245,500,4112.932613
-1866.694547,500,4155.983467
-33.941444,19,4157.837502
-36.302891,16,4159.371495
1617.239577,500,4202.448233
1671.025796,500,4245.373273
