#{"t_start": 1716449900.1795602, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-26.55081,5,1.223997
-22.599741,2,1.429997
-1666.637752,500,44.682626
-80.911206,23,46.812626
-46.179911,19,48.612125
-1607.407452,500,92.433224
-120.851295,59,97.643724
-13.947433,8,98.450224
-13.971703,8,99.245224
-398.137008,253,121.708761
-22.538559,1,121.908261
-130.354222,103,130.569373
-10.362412,190,152.697109
-794.175793,402,185.100836
-268.960456,165,198.205661
-87.195632,103,206.516912
-172.480489,58,211.219583
-129.266907,52,215.693582
373.840969,128,226.702344
-1552.273448,500,270.057211
-1387.55737,410,305.528869
-1472.160234,500,348.505945
-331.94338,500,391.587856
-993.854184,500,435.146024
-134.534254,52,439.521554
-1383.123971,500,483.256124
1104.144021,500,526.56171
-116.966039,500,570.153898
91.040458,500,614.262705
-76.857369,37,617.465205
1452.520823,500,660.54437
935.038869,500,704.135823
-533.417488,500,747.695809
1232.037478,500,791.165529
786.941327,500,834.571133
2249.137785,500,878.32411
885.09091,500,920.816165
-30.200131,7,921.425665
-389.432578,170,936.398021
-27.235546,5,936.874024
-123.556362,57,941.83902
-1205.689227,500,985.231517
-603.030781,500,1029.263352
-933.287499,500,1072.925174
2856.717655,500,1116.212671
-157.905858,73,1122.483357
-831.520673,500,1166.391434
-1521.732633,500,1208.14693
821.00119,312,1234.745308
-114.31893,54,1239.742308
-1026.037673,500,1283.540446
3606.262719,500,1325.29805
1987.768591,61,1330.290559
3902.286635,500,1374.264223
1989.019838,500,1418.771745
-1988.409193,500,1464.263142
1834.351268,62,1469.888642
-1971.375565,500,1515.32525
-1578.077223,438,1554.209143
1925.660053,67,1560.159644
-356.321336,152,1574.046818
1908.313053,62,1579.480818
-559.243066,214,1599.044846
1671.434869,60,1604.320846
-288.836512,500,1648.909238
-971.743955,308,1676.488891
2085.399151,70,1682.700917
-534.785315,500,1727.791938
2275.304301,74,1734.079944
4670.699717,500,1777.993428
-1935.078779,492,1822.016038
2057.938519,70,1828.239886
578.563616,500,1873.184064
5219.065784,500,1916.996121
1930.698632,64,1922.695344
1911.008677,61,1928.481664
1903.974559,61,1934.043254
4136.27589,500,1978.275553
2908.606095,500,2023.608809
2011.931919,68,2029.543329
3219.335189,500,2073.474296
3065.043681,500,2117.683512
-101.912167,500,2161.381474
3992.604568,500,2206.456297
-202.101552,74,2213.15521
3503.376566,500,2257.983283
1961.856378,62,2263.473283
6808.070201,500,2306.442112
-19.203026,1,2306.635112
1981.841113,65,2312.331111
-233.639069,87,2320.199313
1794.618084,55,2325.402813
-581.509055,500,2370.554806
7008.627771,500,2413.391303
-17.639453,3,2413.760303
-19.20302,1,2413.954303
-166.344163,64,2419.805803
-656.594767,500,2464.351952
2048.470983,67,2470.22994
4280.018995,500,2513.823949
5392.320872,500,2557.662716
-5.685441,20,2559.494889
2219.076467,73,2565.941166
-11.036915,12,2567.149025
-1969.959093,500,2612.213231
8388.499208,500,2656.41127
6484.2418,500,2700.064234
3395.311106,500,2744.219256
4.032103,232,2765.091496
6052.898922,500,2808.339422
6013.301365,500,2851.267515
366.225844,157,2865.453167
2821.991606,500,2908.971963
71.631429,155,2922.986397
-1983.710827,500,2967.650691
221.534882,201,2985.744415
-1959.460559,500,3030.147288
2633.482432,500,3075.174331
4309.738127,500,3118.809938
-98.925983,46,3123.02091
3182.37728,500,3168.044204
4681.5845,500,3212.023246
2284.756618,92,3219.866075
-70.086286,19,3221.634074
-84.437628,40,3225.398535
-75.695119,35,3228.610545
3995.769072,500,3273.39209
6517.95574,500,3317.333613
3783.611705,500,3362.395244
-57.678875,24,3364.713596
5896.948088,500,3409.294584
3501.803104,500,3453.648453
-1951.798549,500,3498.2684
-132.268583,41,3502.00275
-1991.137034,500,3546.739756
6747.936929,500,3591.031792
5121.752907,500,3636.14814
7127.01022,500,3680.392154
-111.437314,500,3725.591414
5749.50391,500,3768.896194
1358.78188,500,3813.420328
6543.561915,500,3857.435567
6490.718892,500,3901.591731
2605.129756,101,3910.537371
1379.301277,500,3955.366683
6568.882243,500,3998.80323
7436.57471,500,4042.947527
4771.483032,206,4061.365853
-78.0143,22,4063.448353
1595.614391,500,4108.211582
1463.156113,500,4152.633698
2931.929927,113,4162.34682
1441.228384,500,4207.046477
1705.537859,500,4251.204334
-152.75888,48,4255.612683
10188.960315,500,4300.014879
10520.199702,500,4343.937691
1538.597799,500,4388.291619
7076.464341,500,4432.68538
7078.914275,500,4477.81241
-256.051471,81,4485.268465
-216.423147,69,4491.586918
-230.76422,76,4498.731794
-284.039967,93,4507.323793
1911.712713,500,4552.35283
-315.185735,103,4562.51749
1398.026563,500,4607.563993
7362.005839,500,4651.674898
3024.095339,100,4660.815034
7169.934362,500,4705.248873
6806.899229,357,4737.552983
6447.606608,500,4782.48179
8042.933974,500,4826.832022
6593.482364,327,4856.609313
-1964.733129,500,4901.610174
10339.205304,500,4946.552976
2870.237467,100,4955.774805
7054.131357,500,5001.5128
3318.827915,114,5012.1178
6607.080362,378,5045.858872
-1927.193369,500,5090.644994
-622.466451,231,5111.896192
8237.037862,500,5156.766367
1275.657513,500,5201.198762
10529.929907,500,5245.555237
-536.976059,208,5264.418358
-594.346502,224,5284.870791
8598.094573,343,5315.178807
11519.246205,456,5355.507798
-846.895623,290,5381.731124
9822.038669,500,5426.469626
10370.853388,500,5471.616908
-483.681257,186,5488.516894
-217.935626,75,5495.543393
-514.557011,201,5513.427927
11099.390346,500,5558.208931
-666.795355,244,5580.438077
9128.307138,500,5625.506817
-528.367415,204,5644.36642
-490.468173,176,5659.013972
6942.640101,500,5706.531852
8351.916901,500,5747.587512
1812.154932,56,5752.385814
-276.671598,119,5762.437783
9383.338398,385,5794.48723
8111.532414,500,5836.291397
-426.90813,165,5851.231755
1946.645345,72,5857.854524
-288.428837,113,5868.487137
8417.180362,500,5913.141776
-282.539729,111,5923.191451
-492.726665,178,5939.456825
6432.839854,500,5983.923782
-362.055397,135,5996.582463
8816.435084,500,6040.852045
10111.986645,500,6085.926643
-212.602895,67,6092.229749
-486.784071,500,6136.945135
4230.264864,160,6151.418563
10443.521956,500,6196.541276
-228.356608,72,6203.117556
243.167471,500,6247.988483
11493.189456,483,6290.599573
-603.152745,189,6307.810454
1313.842426,500,6352.381648
-213.287827,73,6359.054895
5374.129241,500,6403.575424
1431.377039,500,6448.281871
227.064982,500,6493.488653
9119.115568,500,6538.58657
4751.436483,500,6583.480096
10475.705745,500,6628.194196
854.394222,500,6672.842334
1106.216578,500,6717.980045
10806.47823,500,6763.176757
552.613594,500,6808.526361
3769.112958,152,6822.230707
9101.793662,500,6866.729513
-178.021096,74,6873.515097
11353.914724,500,6918.205134
8270.550063,500,6962.938804
10925.556083,500,7007.686227
4645.122582,215,7027.197408
1373.589053,500,7072.275676
8023.397262,500,7117.599814
10093.848424,500,7162.75876
4599.878623,182,7179.292281
10124.095623,500,7224.984264
1338.693731,500,7269.707975
3155.244024,121,7280.670787
3338.6373,123,7291.797818
394.107519,500,7336.706316
1542.171029,500,7381.72508
1883.160767,500,7427.126109
10978.653508,500,7471.263685
9912.713985,479,7514.659127
-180.440789,79,7521.899714
2116.770267,79,7529.322448
7490.483094,352,7561.027153
5699.845894,223,7580.98615
10365.030546,500,7624.722799
8675.328433,500,7669.479187
10024.336396,419,7706.266416
11415.74475,500,7750.408426
-229.525608,102,7759.727925
-246.958237,106,7769.091649
5393.718184,194,7786.812384
9138.231355,500,7831.5544
6073.901886,242,7852.800672
11037.714618,494,7896.773705
11728.805613,500,7940.577442
7893.220459,500,7985.528736
