#{"t_start": 1716449413.79722, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-27.149581,5,1.188942
-22.720008,2,1.3897
-2595.50091,303,25.952961
-16.449079,19,27.608146
-2852.294639,327,55.003693
-465.10536,128,65.4807
-2364.419745,273,87.887084
-3471.869713,362,118.621069
-4690.050904,403,152.305308
-76.942018,46,156.140616
-193.963426,60,161.086702
-99.179477,46,164.890987
-74.001183,26,167.074858
-6322.24771,500,207.746338
-15.553877,24,209.782506
-54.210105,37,212.873902
-195.07718,47,216.765664
-6980.125412,500,256.856349
-199.817451,61,261.856672
-165.502112,70,267.632272
-6791.669653,500,308.040942
-38.145099,33,310.804394
-21.467862,1,310.950682
-35.798934,42,314.425464
-137.044032,47,318.326774
-21.467656,1,318.47466
-6116.801695,500,359.166162
-5979.450299,500,400.03793
-1048.499234,203,416.955425
-16.651742,26,419.342165
-22.985283,2,419.571677
-27.833212,5,420.08997
-24.553067,3,420.412863
-22.98193,2,420.65484
-21.46795,1,420.801704
-267.492808,61,426.087226
-15.330895,8,426.845134
-109.182279,39,430.334631
-16.255254,25,432.524956
-15.326695,8,433.259419
-17.39737,27,435.55364
-16.195119,6,436.118543
-22.946868,26,438.353553
-45.105354,14,439.624752
-56.147239,19,441.323106
-50.297791,39,444.753209
-24.057134,31,447.166312
-34.989499,9,447.929981
-14.217641,12,448.949445
-139.637501,52,453.352927
-31.301293,7,454.006426
-5914.120989,500,494.956375
-5378.813144,500,543.187112
-59.826939,52,547.886611
-181.16719,44,551.699611
-79.958867,28,554.240611
-5114.625531,500,597.5567
-144.436566,36,600.774035
-5474.686941,500,643.59933
-362.072776,80,654.684412
-5802.134009,500,696.415297
-6955.902016,500,741.170552
-6497.578606,500,786.83621
-21.335239,1,787.036213
-7075.489484,500,830.440285
-17.873519,28,833.132785
-6164.619754,500,877.715697
-171.878295,54,882.726196
-18.055824,28,885.442196
-5796.4187,500,930.065894
-5448.865536,500,975.443464
-13.975546,16,976.958964
-447.627395,89,985.063502
-342.465847,88,993.110002
-105.526166,38,996.754002
-147.078034,48,1001.226051
-6518.908992,500,1046.027048
-15.756301,7,1046.820548
-14.276781,12,1047.965048
-5518.320676,500,1093.433682
-136.570709,47,1097.720182
-241.591351,56,1102.930546
-231.85845,54,1107.937045
-14.024996,16,1109.435045
-15.179507,22,1111.473045
-5524.002383,500,1156.718818
-7260.201002,500,1200.889662
-110.138732,40,1204.667662
-3261.822963,357,1236.700649
-226.462824,53,1241.661875
-127.611992,32,1244.662374
-5527.259799,500,1288.270539
-157.341376,39,1292.059039
-5833.880547,500,1337.02301
-152.471112,38,1340.53801
-581.886703,122,1351.889517
-2221.807153,307,1379.489007
-5590.09878,500,1424.723361
-6605.733346,500,1470.164357
-6853.072722,500,1516.024692
-4501.600944,432,1554.55848
-2113.16667,264,1578.582014
-921.326537,162,1593.497013
-23.623958,35,1596.774012
-43.111188,50,1601.436012
-6550.534686,500,1646.812274
-6369.67642,500,1690.917771
-5806.978592,500,1736.165289
-6137.3983,500,1781.023285
-6424.654934,500,1822.606317
-6297.729593,500,1865.726235
-6507.122431,500,1909.221144
-17.274661,4,1909.616144
-39.157416,36,1912.89048
-6290.789418,500,1957.359981
-63.973413,15,1958.816982
-19.243124,1,1958.960982
-5581.719792,500,2002.78409
-21.468102,1,2002.94909
-6516.302581,500,2045.935484
-5479.932082,500,2089.925689
-13.954624,14,2091.223186
-6505.530114,500,2134.705578
-59.044796,20,2136.555078
-19.243262,1,2136.699578
-61.6129,21,2138.557906
-6570.441022,500,2181.265547
-5489.901827,500,2225.564223
-1495.129727,222,2244.933841
-5526.659877,500,2287.702767
-6579.257516,500,2330.921942
-6536.734401,500,2374.94661
-18.537739,2,2375.17211
-19.243438,1,2375.31661
-6200.202638,500,2418.995095
-4149.176393,500,2462.158393
-22.578314,1,2462.303893
-17.278446,4,2462.691893
-5050.195351,500,2506.636798
-21.802872,30,2509.39915
-6890.406804,500,2553.122982
-5502.788681,500,2594.840354
-5517.328977,500,2638.113816
-2751.390401,359,2669.537639
-24.289852,15,2670.929643
-4451.300073,500,2714.444126
-18.538716,2,2714.661126
-40.822248,12,2715.655126
-6529.474503,500,2757.406623
-14.506137,20,2759.195122
-6557.615809,500,2800.919452
-3300.341551,339,2829.482652
-6426.985492,500,2873.710145
-24.549679,3,2874.009645
-2644.256573,311,2899.714143
-6932.691702,500,2942.51364
-14.254015,12,2943.55314
-17.881272,3,2943.86014
-19.243217,1,2944.00264
-14.063984,18,2945.63114
-6554.237738,500,2987.322278
-6875.427019,500,3029.697861
-24.39812,25,3031.928893
-6816.050266,500,3075.081979
-6542.146826,500,3118.126248
-22.630491,34,3121.241595
-15.720102,24,3123.479092
-6518.929445,500,3166.50186
-106.766706,44,3170.48136
-110.913134,28,3172.996863
-16.174171,25,3175.18236
-6814.560281,500,3217.822665
-6527.447154,500,3261.312446
-97.030517,41,3264.875946
-6806.515278,500,3307.776515
-19.243156,1,3307.921015
-29.532103,6,3308.523515
-242.229603,73,3314.937055
-123.185748,31,3317.647055
-123.851418,51,3322.259061
-451.800455,115,3331.983656
-93.181174,42,3335.595356
-22.578426,1,3335.738856
-16.711643,5,3336.243856
-34.823826,9,3337.062356
-322.343645,89,3345.126412
-477.957582,124,3355.675393
-26.163309,4,3356.104891
-29.513531,6,3356.660286
-252.898788,80,3363.726048
-37.226248,43,3367.383048
-99.599698,25,3369.658548
-29.494051,6,3370.209548
-13.866036,15,3371.624548
-1034.664407,184,3387.758801
-6823.085353,500,3430.471604
-13.965101,15,3431.794104
-38.621739,11,3432.756607
-36.762602,10,3433.737603
-19.243266,1,3433.882604
-17.300125,4,3434.271104
-15.784598,7,3434.973603
-18.536407,2,3435.201604
-487.515274,122,3445.727423
-15.761593,7,3446.362923
-174.687645,70,3452.465923
-638.804762,139,3464.500418
-44.732294,14,3465.808918
-33.00874,8,3466.524918
-6479.00673,498,3509.770135
-33.068199,8,3510.536765
-561.569799,123,3521.045213
-16.71832,5,3521.515713
-19.243128,1,3521.659213
-14.038705,18,3523.392094
-36.734777,10,3524.270594
-15.056667,9,3525.120598
-88.480335,22,3527.121652
-26.811102,38,3530.442652
-22.984648,2,3530.682652
-6870.630584,500,3574.11096
-17.271212,4,3574.499962
-17.880068,3,3574.807462
-85.427766,31,3577.609293
-85.249623,31,3580.329526
-103.499556,26,3582.523184
-18.587613,29,3585.001986
-7032.255449,500,3628.025622
-13.860542,18,3629.579121
-79.160104,29,3632.090093
-6874.001561,500,3675.323276
-13.964478,19,3676.930276
-42.64192,13,3678.212776
-78.732802,29,3680.721276
-40.689618,12,3681.833539
-76.197011,28,3684.243785
-19.790074,32,3686.997879
-40.660471,12,3688.142379
-215.631269,60,3693.294053
-18.030129,28,3695.795736
-73.566364,27,3698.072589
-36.763693,10,3698.953086
-14.64342,22,3700.818086
-13.986655,19,3702.477334
-1290.93593,196,3719.188885
-62.807522,22,3721.134848
-68.231119,25,3723.261996
-90.932004,33,3726.348996
-76.342074,28,3728.800585
-34.849879,57,3733.871081
-20.303556,32,3736.775839
-35.983143,46,3740.814835
-7063.195368,500,3784.019966
-6979.192101,500,3827.247236
-145.979266,50,3831.620435
-44.809275,14,3832.866932
-4958.186065,468,3873.992755
-76.530868,28,3876.528763
-17.495332,28,3879.014371
-42.423059,13,3880.150371
-14.083185,20,3882.09787
-31.2813,7,3882.786647
-15.034794,9,3883.592648
-22.537713,34,3886.559899
-116.038262,41,3890.128972
-6976.665731,500,3932.815138
-7018.359182,500,3976.591119
-29.522924,6,3977.17623
-143.912549,36,3980.215558
-15.645193,24,3982.26542
-40.595964,12,3983.30742
-68.603202,25,3985.406256
-14.234894,19,3987.20359
-122.906543,31,3989.822179
-18.052255,28,3992.289983
-27.811406,5,3992.760983
-148.283308,37,3996.041879
-13.907288,16,3997.412126
-38.59871,11,3998.384199
-14.004847,15,3999.757854
-78.965783,29,4002.455853
-17.901174,3,4002.764155
-14.044095,13,4004.071655
-38.59948,11,4005.027654
-73.666261,27,4007.532782
-78.941247,29,4009.982487
-7184.028918,500,4052.760335
-13.923558,15,4054.081942
-97.082749,35,4057.019123
-66.047328,24,4059.146683
-36.623952,10,4060.021182
-38.537943,11,4060.978122
-36.631126,10,4062.033122
-122.90004,31,4064.725959
-15.657615,24,4066.888355
-19.251489,1,4067.032855
-18.551782,2,4067.260854
-38.492416,11,4068.294436
-15.302379,23,4070.332495
-7113.200412,500,4113.840225
-87.492848,32,4116.594595
-58.6535,21,4118.392956
-38.6234,11,4119.453806
-16.063434,25,4121.67998
-65.814514,24,4123.715969
-68.333854,25,4125.941899
-16.091379,25,4128.201399
-7025.0343,500,4170.915731
-7143.129896,500,4214.650815
-123.780905,43,4218.464512
-40.383971,12,4219.508581
-15.267803,23,4221.568975
-106.201145,38,4224.874968
-14.421122,21,4226.591968
-32.955556,8,4227.320675
-19.251603,1,4227.466675
-13.967599,17,4228.921457
-40.587007,12,4229.95984
-14.073045,18,4231.55734
-16.213439,6,4232.107839
-6992.797092,500,4274.994626
-48.009049,10,4275.866601
-91.517392,33,4278.927683
-19.251335,1,4279.071184
-15.521643,24,4281.294577
-14.221475,12,4282.340577
-13.953562,15,4283.762077
-36.705289,10,4284.712306
-14.0239,18,4286.267161
-7002.840124,500,4329.099465
-44.66149,14,4330.304965
-17.299843,4,4330.695344
-36.725767,10,4331.571344
-7056.235914,500,4374.769372
-36.747866,10,4375.765965
-17.902099,3,4376.071465
-6996.575936,500,4419.394955
-7037.639865,500,4462.611867
-236.361475,77,4469.403794
-44.660768,14,4470.634847
-16.212014,6,4471.184386
-214.382445,72,4477.622278
-18.551898,2,4477.846778
-15.274546,24,4479.997396
-19.251491,1,4480.141896
-42.577808,13,4481.275896
-16.741346,5,4481.741444
-1969.249019,244,4502.740705
-17.900269,3,4503.072705
-198.625007,69,4509.083361
-172.818157,62,4514.558302
-7239.265886,500,4557.727522
-7447.337647,500,4601.337851
-7513.828831,500,4644.258937
-6664.911277,500,4687.362631
-7303.677883,500,4730.371137
-5557.430091,455,4770.323897
-40.641542,12,4771.359091
-6639.332309,500,4814.269515
-17.308323,4,4814.661515
-38.656101,11,4815.649515
-40.597129,12,4816.690877
-17.300838,4,4817.112005
