#{"t_start": 1716429583.3640506, "env_id": "manipulator_mujoco/UR5eEnv-v1"}
r,l,t
-26.40081,5,1.224
-22.570008,2,1.4345
-375.162227,500,45.712098
-98.424849,31,48.557097
-47.783415,11,49.752097
-353.011482,500,95.365787
-110.908898,63,101.206414
-110.863887,99,110.586414
-95.6096,54,115.767914
-199.84356,174,131.823838
-61.212344,127,143.63895
-35.681153,153,157.570071
-220.14414,232,178.72819
-246.909142,141,191.986548
-171.942523,233,212.715055
-27.080099,5,213.231555
118.105616,500,257.387628
-754.184469,500,301.963125
-214.98296,106,311.462625
-559.180715,500,356.036121
-232.223016,112,366.215621
-90.345851,500,410.849617
311.937977,281,436.150615
-389.954945,259,459.701614
-128.30935,151,473.150113
-255.384856,189,490.094242
-299.748185,500,534.998343
-501.885517,331,564.730199
-240.250618,500,609.610696
-44.908715,194,627.077056
-317.680482,500,671.745755
833.55302,500,716.874413
-111.548378,197,734.061673
969.081162,500,778.572169
-223.298496,500,823.394069
-267.558208,109,833.465211
1243.600581,421,870.843916
-144.755474,70,877.347916
704.466487,500,922.243405
-225.074139,134,934.228904
1077.691357,500,978.474686
202.059556,500,1023.647432
-205.16678,119,1034.451931
1731.556419,426,1071.771137
1910.023173,500,1115.5855
316.417475,500,1159.619075
-392.220338,245,1182.044322
2680.937259,500,1226.395144
2156.995161,500,1271.227088
1885.044162,500,1316.118422
-135.479897,66,1322.256921
2425.261549,500,1367.619884
3111.767979,500,1411.814705
2140.314392,500,1456.161939
-141.503066,72,1462.933044
1911.65662,500,1508.616523
2121.789282,500,1554.471473
-620.236098,500,1600.719541
3246.117987,500,1646.228033
3352.423957,500,1691.217016
3443.748502,500,1735.365916
3665.894419,500,1779.900416
2967.543797,500,1824.469604
3085.180475,500,1868.538323
3048.201432,500,1914.016358
1312.67415,265,1938.188927
2832.527683,500,1983.075282
2889.35507,500,2028.371769
873.763789,500,2074.271795
4517.082889,500,2119.955186
349.884369,500,2165.727316
4546.788811,500,2211.561401
3222.431862,500,2255.69106
2889.305963,500,2301.052548
2870.058734,500,2346.64352
404.244694,317,2375.434036
990.997855,500,2421.738382
-674.74882,500,2467.025597
-476.109884,324,2496.782805
-698.215356,500,2541.999898
3466.820168,500,2586.729892
2872.900095,500,2631.957469
1976.441525,500,2677.710145
6173.548255,500,2723.587508
46.951261,500,2769.226138
4977.491454,500,2814.746997
2447.635011,500,2860.544823
-195.002542,95,2869.381158
-700.331653,500,2915.796726
2946.202179,500,2961.685296
305.469925,500,3007.678634
2031.02586,500,3052.809266
393.241595,500,3098.456209
2883.667733,500,3144.888486
5771.167493,500,3190.573481
2824.949843,500,3236.426099
3585.462778,500,3282.084382
2885.583634,500,3328.000046
3327.094511,500,3374.40804
1626.209213,500,3420.576845
5476.892208,500,3465.983726
3870.344072,500,3511.474517
4110.641101,500,3557.27048
1251.191426,258,3580.717732
-678.993353,500,3627.176484
4513.539842,500,3672.757524
7060.116282,500,3718.725731
-25.0567,2,3719.021731
1451.392631,500,3765.174346
-25.056781,2,3765.455273
4114.230205,500,3810.076103
-780.967026,500,3855.087979
5076.873727,500,3899.683879
2772.336469,500,3944.879781
4425.061025,500,3989.84499
856.055564,227,4010.415926
2607.666484,500,4055.475213
3545.51008,126,4066.712713
2682.469868,500,4111.76055
-105.831359,34,4115.030991
-100.642547,32,4117.985991
4783.662495,500,4162.117872
-105.681722,34,4165.374371
2805.972067,500,4210.264591
8668.121791,500,4254.531197
1037.887122,195,4272.028696
2610.805954,92,4280.248908
2406.601223,79,4287.416907
3312.075182,105,4296.980224
8147.660772,500,4341.373561
5294.30309,500,4386.214437
7349.427276,500,4430.412149
6498.186381,500,4474.729679
-128.589237,43,4478.809799
-423.308385,294,4505.061297
5026.143097,500,4549.41759
7276.35327,500,4593.332201
-238.116947,135,4605.693415
-445.186691,279,4630.95609
2855.96414,500,4675.898552
2458.311051,88,4683.901728
2852.717607,500,4728.856253
11395.870371,500,4772.465809
2850.498232,500,4817.336669
2877.244461,500,4862.16557
-273.904028,170,4877.545228
2878.389529,500,4922.006725
2874.634169,500,4966.837437
6547.200816,500,5010.813965
-398.131687,243,5032.508604
5403.504721,500,5075.729268
9455.206607,357,5106.349617
2755.265797,500,5150.884306
2898.137712,500,5195.466957
-538.005705,354,5227.04566
-687.082206,500,5271.629582
294.293376,73,5278.194582
11828.559388,500,5321.276743
2878.190411,500,5365.816566
6556.244129,500,5409.297967
126.911516,38,5412.785966
-472.70452,329,5442.088463
11644.456856,500,5484.497128
2792.256288,500,5529.688855
2859.127414,500,5574.747802
-594.573144,500,5619.592648
4838.922452,212,5637.965972
2772.513977,500,5682.508527
12534.586449,500,5726.053476
8091.818624,500,5770.16197
-21.417965,1,5770.35897
-21.418061,1,5770.55047
8918.308285,500,5813.819676
11751.136276,500,5856.626431
2166.994351,500,5901.320004
-148.52056,70,5907.624004
-582.331899,500,5952.267499
-573.057983,500,5997.083561
9327.625698,500,6040.638369
-21.417936,1,6040.835371
9534.826408,500,6084.649246
10040.439915,500,6128.26207
2221.479832,500,6172.698759
12320.906537,500,6215.109389
10044.842661,500,6257.839131
11239.454799,500,6300.206629
13422.979697,462,6339.492224
325.316032,166,6354.351223
10230.834987,500,6398.217045
2153.739854,500,6443.158313
12960.464067,500,6484.765606
2600.70808,500,6529.518183
-645.83473,500,6574.414131
2555.152993,500,6619.053562
12313.35203,500,6660.922555
10484.519191,500,6704.699374
-400.057442,284,6730.299062
10856.671088,500,6772.066403
2919.307465,500,6817.019082
2993.209947,500,6861.782351
-22.834968,2,6862.07235
10477.193946,500,6906.112547
-21.417928,1,6906.309047
2079.323309,500,6951.418422
10583.108841,500,6995.019241
13056.044527,500,7037.453922
-21.417858,1,7037.654422
12402.654498,500,7079.689829
-645.358495,500,7124.439589
4643.251593,500,7168.756281
12167.380183,500,7212.222683
6510.169767,500,7255.802131
466.445516,117,7266.381692
-647.005964,500,7311.207968
-655.799102,500,7356.01867
-21.417961,1,7356.21717
-487.326792,354,7388.020795
-606.231919,500,7433.210706
8392.731815,322,7461.512452
374.549509,97,7470.244951
153.614679,53,7475.072451
-21.417878,1,7475.268451
13269.381425,500,7518.809306
11602.634983,391,7552.590488
11181.092327,500,7595.276193
2721.858084,500,7640.158456
3903.754612,500,7684.947444
4834.469889,500,7729.492453
-132.32764,84,7737.251431
-690.558223,500,7782.097811
3099.991449,111,7791.673949
13178.831895,500,7833.931681
2756.531466,500,7878.926067
2558.146186,500,7923.411904
12782.164981,500,7967.564759
12828.919942,500,8010.803239
13335.149332,500,8053.574459
-222.110491,156,8067.712446
4239.698181,500,8111.512314
2821.905274,500,8156.525963
2120.35124,500,8201.844841
2769.896958,500,8246.711796
12769.445375,500,8288.639543
12864.576294,500,8331.56113
8582.016869,500,8375.38263
-49.199251,21,8377.428674
11429.626991,500,8421.134818
13531.53368,500,8464.155829
8275.425337,500,8508.181046
-723.790835,500,8553.263135
11513.420425,500,8596.823002
5261.33787,500,8640.352138
10833.417759,500,8682.789456
-284.24,161,8697.374541
-463.877393,315,8725.763191
8059.795519,293,8751.075407
2866.389995,500,8795.721512
-120.707084,40,8799.378512
1049.299338,350,8830.780304
2556.149907,500,8875.232321
12494.237568,500,8919.111903
6970.086614,249,8939.953635
2759.431158,500,8984.845018
8188.215343,500,9028.568643
10393.602231,500,9071.949095
9222.266007,500,9115.515711
-108.12883,35,9118.751711
13617.835535,500,9162.470894
-118.170364,39,9166.046394
2769.142043,500,9210.763914
10919.884736,500,9253.635751
12870.488946,500,9296.67809
13168.799126,500,9339.186249
7923.78999,500,9383.050976
-209.585046,92,9391.662656
10041.491156,351,9421.439043
7089.812279,500,9464.691686
2843.359496,500,9509.384819
5811.761446,205,9527.310552
-291.84229,112,9537.464051
-193.755878,72,9543.971551
-118.31605,39,9547.536679
12951.28367,500,9591.402781
10055.072794,500,9634.977102
-648.510221,500,9679.53851
12786.122189,500,9722.789921
10036.690919,351,9753.117493
13406.15763,500,9796.648402
2727.21884,500,9841.616676
-628.024989,500,9886.844477
13288.425733,500,9930.387201
-564.129044,500,9975.15822
11462.712651,500,10018.448814
2721.530508,500,10063.639027
4258.881,197,10081.315902
7888.940172,500,10125.887934
6735.456285,390,10160.31494
11101.080839,500,10202.913749
4428.093366,337,10232.589915
4045.744195,500,10276.957715
8384.159655,500,10320.519603
10293.774574,500,10364.000564
